group,1d,2d,pop 2021
0-11,541,135,1079338
12-17,504133,462536,529446
18-29,1057761,978957,1216440
30-39,975215,918561,1118629
40-49,998684,961142,1115327
50-59,1059823,1024589,1155183
60-69,1101691,1085257,1168854
70-79,747227,743877,783129
80 plus,397704,394833,425520
Total 12+,6842238,6569752,7512528
Total,6842779,6569887,8591866
