Date,Regroupement,Croisement,Nom,vac_quo_tot_n,vac_cum_tot_n,cv_tot_n,pop_tot_n,cv_tot_p,vac_quo_tot_m
2020-12-15,Région,RSS15,15 - Laurentides,14,16,,,,
2020-12-15,Région,RSS16,16 - Montérégie,64,65,,,,
2020-12-15,Région,RSS17,17 - Nunavik,0,0,,,,
2020-12-15,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0,,,,
2020-12-15,Région,RSS98,Hors Québec,0,0,,,,
2020-12-15,Région,RSS99,Ensemble du Québec,1188,1500,,,,
2020-12-15,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,0,1,,,,
2020-12-15,Groupe d'âge 1,GR1_16_59,16 à 59 ans,868,947,,,,
2020-12-15,Groupe d'âge 1,GR1_60_69,60 à 69 ans,117,145,,,,
2020-12-15,Groupe d'âge 1,GR1_70_79,70 à 79 ans,43,78,,,,
2020-12-15,Groupe d'âge 1,GR1_80_,80 ans et plus,160,329,,,,
2020-12-15,Groupe d'âge 1,TOT,Total,1188,1500,,,,
2020-12-15,Sexe,FEM,Féminin,836,1043,,,,
2020-12-15,Sexe,INC,Inconnu,0,0,,,,
2020-12-15,Sexe,MASC,Masculin,352,457,,,,
2020-12-15,Sexe,TOT,Total,1188,1500,,,,
2020-12-15,Groupe prioritaire,GRP-Autres,Autres raisons,28,48,,,,
2020-12-15,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,224,455,,,,
2020-12-15,Groupe prioritaire,GRP-MC,Maladie chronique,0,0,,,,
2020-12-15,Groupe prioritaire,GRP-RPA,Résident en RPA,1,1,,,,
2020-12-15,Groupe prioritaire,GRP-TS,Travailleur de la santé,935,996,,,,
2020-12-15,Groupe prioritaire,TOT,Total,1188,1500,,,,
2020-12-15,Groupe d'âge 2,GR2_00_4,Moins de 5 ans,0,1,,,,
2020-12-15,Groupe d'âge 2,GR2_05_11,5 à 11 ans,0,0,,,,
2020-12-15,Groupe d'âge 2,GR2_12_17,12 à 17 ans,2,2,,,,
2020-12-15,Groupe d'âge 2,GR2_18_29,18 à 29 ans,118,132,,,,
2020-12-15,Groupe d'âge 2,GR2_30_49,30 à 49 ans,442,483,,,,
2020-12-15,Groupe d'âge 2,GR2_50_69,50 à 69 ans,423,475,,,,
2020-12-15,Groupe d'âge 2,GR2_70_79,70 à 79 ans,43,78,,,,
2020-12-15,Groupe d'âge 2,GR2_80_,80 ans et plus,160,329,,,,
2020-12-15,Groupe d'âge 2,TOT,Total,1188,1500,,,,
2020-12-15,Groupe d'âge 2,GR2_12_,12 ans et +,1188,1499,,,,
2020-12-15,Groupe d'âge 3,GR3_00_4,Moins de 5 ans,0,1,,,,
2020-12-15,Groupe d'âge 3,GR3_05_11,5 à 11 ans,0,0,,,,
2020-12-15,Groupe d'âge 3,GR3_12_17,12 à 17 ans,2,2,,,,
2020-12-15,Groupe d'âge 3,GR3_18_59,18 à 59 ans,866,945,,,,
2020-12-15,Groupe d'âge 3,GR3_60_69,60 à 69 ans,117,145,,,,
2020-12-15,Groupe d'âge 3,GR3_70_79,70 à 79 ans,43,78,,,,
2020-12-15,Groupe d'âge 3,GR3_80_,80 ans et +,160,329,,,,
2020-12-15,Groupe d'âge 3,TOT,Total,1188,1500,,,,
