,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20449,19,20410,39,169,0,19875,405,197738.33333,10341.44,204.89,85.47,43,826,2
02,02 - Saguenay-Lac-Saint-Jean,30019,20,29658,361,434,0,29139,446,278600,10774.95,160.09,155.78,41,1582,1
03,03 - Capitale-Nationale,87694,42,87333,361,1541,3,85013,1140,761103.66667,11521.95,148.71,202.47,118,4193,8
04,04 - Mauricie et Centre-du-Québec,58454,22,58214,240,998,0,56610,846,527666.66667,11077.83,159.54,189.13,126,3126,0
05,05 - Estrie,49179,0,48655,524,614,0,47653,912,502406,9788.70,179.53,122.21,79,2687,3
06,06 - Montréal,306807,149,303446,3361,5467,0,298593,2747,2061667.3333,14881.50,132.61,265.17,254,15928,15
07,07 - Outaouais,39474,15,39029,445,310,0,38790,374,405378.66667,9737.56,91.28,76.47,40,1809,3
08,08 - Abitibi-Témiscamingue,10773,2,10732,41,110,0,10536,127,147876.33333,7285.14,85.85,74.39,13,616,1
09,09 - Côte-Nord,8382,8,8356,26,46,0,8058,278,90082.333333,9304.82,310.03,51.06,10,483,1
10,10 - Nord-du-Québec,1470,2,1241,229,4,0,1451,15,13383.666667,10983.54,112.75,29.89,3,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8920,5,8883,37,82,0,8694,144,90783.333333,9825.59,158.42,90.32,10,425,0
12,12 - Chaudière-Appalaches,60836,26,60553,283,656,0,59636,544,434525.66667,14000.55,124.61,150.97,72,2502,5
13,13 - Laval,71046,22,69085,1961,1103,1,69505,438,445993.33333,15929.83,97.31,247.31,39,3203,3
14,14 - Lanaudière,69309,26,68593,716,766,1,67988,555,530581,13062.85,103.35,144.37,76,2766,2
15,15 - Laurentides,78681,26,78075,606,754,0,76934,993,640046.66667,12293.01,153.07,117.80,68,3658,8
16,16 - Montérégie,147747,71,145834,1913,2203,0,143737,1807,1452381.3333,10172.74,123.19,151.68,184,7951,11
17,17 - Nunavik,2998,1,2992,6,10,0,2966,22,14619,20507.56,147.94,68.40,2,110,0
18,18 - Terres-Cries-de-la-Baie-James,2921,0,2523,398,15,0,2873,33,18660.333333,15653.53,173.95,80.38,3,95,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,373,-1
99,Hors Québec,2907,1,2899,8,2,0,2882,23,.,.,.,.,2,0,0
999,Ensemble du Québec,1058066,457,1046511,11555,15284,5,1030933,11849,8613493.6667,12283.82,136.55,177.44,1183,52385,62

