Sexe;Sexe;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie
Masculin;Masculin;239;2753;268,6;77920;7601,9;< 5;n.p.;2254
Féminin;Féminin;222;2800;269,1;83754;8048,2;< 5;n.p.;2612
Inconnu;Inconnu;0;;0;;0;;0;
Total à Montréal;Total à Montréal;461;5558;269,1;161806;7833,1;6;n.p.;4867
