CIUSSS;CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;CIUSSS de l'Ouest-de-l'Île-de-Montréal;82;912;243,8;24494;6547,1;< 5;n.p.;907
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;80;1022;271;28182;7472,8;< 5;n.p.;770
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;64;681;207,9;18189;5553,2;< 5;n.p.;659
CIUSSS du Nord-de-l'Île-de-Montréal ;CIUSSS du Nord-de-l'Île-de-Montréal ;123;1170;260,1;39597;8801,4;0;;1127
CIUSSS de l'Est-de-l'Île-de-Montréal ;CIUSSS de l'Est-de-l'Île-de-Montréal ;112;1699;316,4;48676;9064,9;< 5;n.p.;1376
Territoire à confirmer;Territoire à confirmer;0;;0;;0;;0;
Total à Montréal;Total à Montréal;461;5558;269,1;161806;7833,1;6;n.p.;4867
