Arrondissement ou ville liée;Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;Ahuntsic–Cartierville;41;403;300,2;12656;9427,5;0;;492
Anjou;Anjou;11;169;394,9;4317;10087,4;0;;79
Baie D'urfé;Baie D'urfé;< 5;< 5;n.p.;116;3034,3;0;;< 5
Beaconsfield;Beaconsfield;< 5;24;* 124,2;652;3374;0;;21
Côte-des-Neiges–Notre-Dame-de-Grâce;Côte-des-Neiges–Notre-Dame-de-Grâce;43;503;302,1;14287;8579,8;0;;372
Côte-Saint-Luc;Côte-Saint-Luc;7;154;474,6;3453;10641,6;0;;120
Dollard-des-Ormeaux;Dollard-des-Ormeaux;12;129;263,8;3481;7118,8;0;;125
Dorval;Dorval;6;53;279,2;982;5173,9;0;;69
Hampstead;Hampstead;< 5;32;* 458,9;557;7988;0;;6
Kirkland;Kirkland;< 5;29;* 143,9;940;4664,8;0;;36
Lachine;Lachine;8;80;179,8;3499;7864,9;< 5;n.p.;172
LaSalle;LaSalle;22;206;268;6723;8747,9;0;;247
L'Île-Bizard–Sainte-Geneviève;L'Île-Bizard–Sainte-Geneviève;< 5;68;369,3;1263;6859,3;0;;76
Mercier–Hochelaga-Maisonneuve;Mercier–Hochelaga-Maisonneuve;24;362;266,1;10744;7898,6;0;;452
Montréal Est;Montréal Est;6;42;1090,9;394;10233,8;0;;9
Montréal-Nord;Montréal-Nord;19;201;238,6;10663;12658,8;0;;338
Montréal-Ouest;Montréal-Ouest;< 5;28;* 554,5;273;5405,9;0;;< 5
Mont-Royal;Mont-Royal;7;63;310,7;1351;6663;0;;94
Outremont;Outremont;11;91;379,9;1546;6454;0;;29
Pierrefonds–Roxboro;Pierrefonds–Roxboro;13;207;298,7;5220;7532,8;0;;88
Plateau Mont-Royal;Plateau Mont-Royal;15;245;235,6;5897;5670,2;0;;172
Pointe-Claire;Pointe-Claire;14;101;321,9;1342;4276,6;0;;56
Rivière-des-Prairies–Pointe-aux-Trembles;Rivière-des-Prairies–Pointe-aux-Trembles;25;345;323,2;11208;10500;< 5;n.p.;324
Rosemont–La Petite Patrie;Rosemont–La Petite Patrie;38;417;298,7;8831;6326,4;0;;328
Sainte-Anne-de-Bellevue;Sainte-Anne-de-Bellevue;0;11;* 221,9;201;4054,1;0;;13
Saint-Laurent;Saint-Laurent;31;261;264,1;9933;10050,8;0;;159
Saint-Léonard;Saint-Léonard;16;310;395,9;9737;12434,7;< 5;n.p.;150
Senneville;Senneville;0;< 5;n.p.;35;* 3800,2;0;;0
Sud-Ouest;Sud-Ouest;16;174;222,6;4949;6332,6;0;;209
Verdun;Verdun;13;143;206,6;3894;5624,8;0;;202
Ville-Marie;Ville-Marie;24;184;206,3;6080;6818,4;< 5;n.p.;132
Villeray–Saint-Michel–Parc-Extension;Villeray–Saint-Michel–Parc-Extension;27;414;287,8;13359;9286,6;< 5;n.p.;207
Westmount;Westmount;< 5;37;182,2;937;4613;0;;57
Territoire à confirmer;Territoire à confirmer;0;;0;;0;;0;
Total à Montréal;Total à Montréal;461;5558;269,1;161806;7833,1;6;n.p.;4867
