group,0d,1d,2d,pop 2021
0-4,88068,76,17,109960
5-11,144212,37,18,149671
12-17,29866,97044,88935,115666
18-29,8540,314418,287814,367326
30-39,29867,272315,254200,330128
40-49,19163,242145,229393,281268
50-59,10412,226346,217275,254246
60-69,478,206139,200065,219244
70-79,0,143825,140191,148691
80 plus,258,99731,95387,102264
Total 12+,98584,1601963,1513260,1818833
Total,330446,1602076,1513295,2078464
