Date;Nouveaux cas;Cumulatif;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;1;6;
2020-03-10;2;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;4;20;
2020-03-15;6;26;
2020-03-16;5;31;
2020-03-17;7;38;
2020-03-18;6;44;
2020-03-19;35;79;
2020-03-20;49;128;
2020-03-21;92;220;
2020-03-22;88;308;
2020-03-23;133;441;
2020-03-24;145;586;
2020-03-25;188;774;
2020-03-26;181;955;
2020-03-27;243;1198;
2020-03-28;201;1399;
2020-03-29;260;1659;
2020-03-30;266;1925;
2020-03-31;329;2254;
2020-04-01;305;2559;
2020-04-02;410;2969;
2020-04-03;349;3318;
2020-04-04;340;3658;
2020-04-05;261;3919;
2020-04-06;457;4376;
2020-04-07;421;4797;
2020-04-08;377;5174;
2020-04-09;352;5526;
2020-04-10;307;5833;
2020-04-11;256;6089;
2020-04-12;330;6419;
2020-04-13;541;6960;
2020-04-14;468;7428;
2020-04-15;617;8045;
2020-04-16;496;8541;
2020-04-17;570;9111;
2020-04-18;330;9441;
2020-04-19;427;9868;
2020-04-20;483;10351;
2020-04-21;458;10809;
2020-04-22;533;11342;
2020-04-23;525;11867;
2020-04-24;497;12364;
2020-04-25;311;12675;
2020-04-26;283;12958;
2020-04-27;462;13420;
2020-04-28;469;13889;
2020-04-29;520;14409;
2020-04-30;590;14999;
2020-05-01;615;15614;
2020-05-02;523;16137;
2020-05-03;346;16483;
2020-05-04;418;16901;
2020-05-05;469;17370;
2020-05-06;568;17938;
2020-05-07;427;18365;
2020-05-08;435;18800;
2020-05-09;311;19111;
2020-05-10;301;19412;
2020-05-11;366;19778;
2020-05-12;431;20209;
2020-05-13;396;20605;
2020-05-14;352;20957;
2020-05-15;346;21303;
2020-05-16;267;21570;
2020-05-17;342;21912;
2020-05-18;333;22245;
2020-05-19;319;22564;
2020-05-20;409;22973;
2020-05-21;382;23355;
2020-05-22;257;23612;
2020-05-23;215;23827;
2020-05-24;215;24042;
2020-05-25;204;24246;
2020-05-26;242;24488;
2020-05-27;256;24744;
2020-05-28;193;24937;
2020-05-29;195;25132;
2020-05-30;206;25338;
2020-05-31;140;25478;
2020-06-01;156;25634;
2020-06-02;100;25734;
2020-06-03;114;25848;
2020-06-04;124;25972;
2020-06-05;115;26087;
2020-06-06;105;26192;
2020-06-07;74;26266;
2020-06-08;50;26316;
2020-06-09;78;26394;
2020-06-10;68;26462;
2020-06-11;67;26529;
2020-06-12;72;26601;
2020-06-13;65;26666;
2020-06-14;28;26694;
2020-06-15;55;26749;
2020-06-16;72;26821;
2020-06-17;51;26872;
2020-06-18;52;26924;
2020-06-19;61;26985;
2020-06-20;31;27016;
2020-06-21;24;27040;
2020-06-22;39;27079;
2020-06-23;39;27118;
2020-06-24;29;27147;
2020-06-25;46;27193;
2020-06-26;42;27235;
2020-06-27;32;27267;
2020-06-28;18;27285;
2020-06-29;16;27301;
2020-06-30;39;27340;
2020-07-01;23;27363;
2020-07-02;16;27379;
2020-07-03;16;27395;
2020-07-04;14;27409;
2020-07-05;8;27417;
2020-07-06;15;27432;
2020-07-07;20;27452;
2020-07-08;33;27485;
2020-07-09;52;27537;
2020-07-10;48;27585;
2020-07-11;21;27606;
2020-07-12;13;27619;
2020-07-13;75;27694;
2020-07-14;66;27760;
2020-07-15;68;27828;
2020-07-16;64;27892;
2020-07-17;98;27990;
2020-07-18;101;28091;
2020-07-19;55;28146;
2020-07-20;37;28183;
2020-07-21;65;28248;
2020-07-22;76;28324;
2020-07-23;92;28416;
2020-07-24;66;28482;
2020-07-25;35;28517;
2020-07-26;51;28568;
2020-07-27;34;28602;
2020-07-28;39;28641;
2020-07-29;71;28712;
2020-07-30;60;28772;
2020-07-31;58;28830;
2020-08-01;52;28882;
2020-08-02;31;28913;
2020-08-03;45;28958;
2020-08-04;65;29023;
2020-08-05;46;29069;
2020-08-06;22;29091;
2020-08-07;47;29138;
2020-08-08;35;29173;
2020-08-09;37;29210;
2020-08-10;35;29245;
2020-08-11;36;29281;
2020-08-12;36;29317;
2020-08-13;37;29354;
2020-08-14;32;29386;
2020-08-15;14;29400;
2020-08-16;13;29413;
2020-08-17;18;29431;
2020-08-18;17;29448;
2020-08-19;22;29470;
2020-08-20;35;29505;
2020-08-21;33;29538;
2020-08-22;20;29558;
2020-08-23;23;29581;
2020-08-24;10;29591;
2020-08-25;28;29619;
2020-08-26;43;29662;
2020-08-27;44;29706;
2020-08-28;27;29733;
2020-08-29;54;29787;
2020-08-30;15;29802;
2020-08-31;32;29834;
2020-09-01;36;29870;
2020-09-02;35;29905;
2020-09-03;71;29976;
2020-09-04;47;30023;
2020-09-05;67;30090;
2020-09-06;60;30150;
2020-09-07;51;30201;
2020-09-08;72;30273;
2020-09-09;70;30343;
2020-09-10;91;30434;
2020-09-11;110;30544;
2020-09-12;72;30616;
2020-09-13;100;30716;
2020-09-14;76;30792;
2020-09-15;93;30885;
2020-09-16;84;30969;
2020-09-17;74;31043;
2020-09-18;201;31244;
2020-09-19;140;31384;
2020-09-20;218;31602;
2020-09-21;138;31740;
2020-09-22;168;31908;
2020-09-23;260;32168;
2020-09-24;238;32406;
2020-09-25;286;32692;
2020-09-26;348;33040;
2020-09-27;271;33311;
2020-09-28;282;33593;
2020-09-29;356;33949;
2020-09-30;323;34272;
2020-10-01;320;34592;
2020-10-02;423;35015;
2020-10-03;359;35374;
2020-10-04;122;35496;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
