,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1334,6,1319,15,24,0,1177,133,196795,677.86,67.58,12.20
02,02 - Saguenay–Lac-Saint-Jean,7991,67,7811,180,226,1,7189,576,277378,2880.91,207.66,81.48
03,03 - Capitale-Nationale,18574,148,18277,297,707,5,15638,2229,760147,2443.47,293.23,93.01
04,04 - Mauricie et Centre-du-Québec,10264,102,10046,218,364,1,8661,1239,524322,1957.58,236.31,69.42
05,05 - Estrie,8392,124,8020,372,183,4,7094,1115,496770,1689.31,224.45,36.84
06,06 - Montréal,75190,1128,72399,2791,3895,9,62903,8392,2078464,3617.58,403.76,187.40
07,07 - Outaouais,4984,65,4648,336,119,0,4374,491,404456,1232.27,121.40,29.42
08,08 - Abitibi-Témiscamingue,398,23,364,34,4,0,325,69,147658,269.54,46.73,2.71
09,09 - Côte-Nord,310,0,297,13,3,0,292,15,89368,346.88,16.78,3.36
10,10 - Nord-du-Québec,76,1,74,2,0,0,71,5,13485,563.59,37.08,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1643,10,1624,19,43,0,1520,80,89648,1832.72,89.24,47.97
12,12 - Chaudière-Appalaches,8683,127,8428,255,194,1,7592,897,431910,2010.37,207.68,44.92
13,13 - Laval,17605,222,16243,1362,767,0,14784,2054,446572,3942.25,459.95,171.75
14,14 - Lanaudière,15724,157,15018,706,398,1,13982,1344,524642,2997.09,256.17,75.86
15,15 - Laurentides,11541,120,10939,602,365,2,10041,1135,633508,1821.76,179.16,57.62
16,16 - Montérégie,29917,244,28480,1437,1085,8,25358,3474,1443701,2072.24,240.63,75.15
17,17 - Nunavik,30,0,28,2,0,0,30,0,14413,208.15,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,20,0,20,0,2,0,17,1,18629,107.36,5.37,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,170,2,168,2,0,0,153,17,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,212850,2546,204207,8643,8379,32,181205,23266,8591866,2477.34,270.79,97.52
