"Date";"Doses du vaccin COVID-19 reçues (cumulatif)";"Doses du vaccin COVID-19 administrées (cumulatif)"
2022-08-15;23486905;20468759
2022-08-14;23486905;20457107
2022-08-13;23486905;20453958
2022-08-12;23486905;20443338
2022-08-11;23486905;20433363
2022-08-10;23486905;20422672
2022-08-09;23446905;20412546
