,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1279,35,1266,13,24,0,1159,96,197074,648.99,48.71,12.18
02,02 - Saguenay–Lac-Saint-Jean,7651,50,7476,175,219,2,6884,548,277632,2755.81,197.38,78.88
03,03 - Capitale-Nationale,17797,257,17512,285,678,9,14750,2369,755459,2355.79,313.58,89.75
04,04 - Mauricie et Centre-du-Québec,9855,155,9638,217,354,3,8264,1237,522341,1886.70,236.82,67.77
05,05 - Estrie,7879,146,7515,364,171,5,6689,1019,493163,1597.65,206.63,34.67
06,06 - Montréal,71338,936,68554,2784,3862,15,59710,7766,2065657,3453.53,375.96,186.96
07,07 - Outaouais,4768,45,4446,322,117,5,4206,445,401032,1188.93,110.96,29.17
08,08 - Abitibi-Témiscamingue,354,14,321,33,4,0,314,36,147616,239.81,24.39,2.71
09,09 - Côte-Nord,303,2,290,13,3,0,281,19,90033,336.54,21.10,3.33
10,10 - Nord-du-Québec,74,1,72,2,0,0,68,6,13558,545.80,44.25,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1595,17,1576,19,43,1,1495,57,89998,1772.26,63.33,47.78
12,12 - Chaudière-Appalaches,8249,134,7997,252,185,1,7189,875,430309,1916.99,203.34,42.99
13,13 - Laval,16681,243,15337,1344,760,6,13977,1944,442745,3767.63,439.08,171.66
14,14 - Lanaudière,15123,148,14417,706,392,1,13423,1308,520092,2907.75,251.49,75.37
15,15 - Laurentides,10942,163,10341,601,359,0,9431,1152,626968,1745.22,183.74,57.26
16,16 - Montérégie,28542,471,27112,1430,1053,13,24012,3477,1432751,1992.11,242.68,73.49
17,17 - Nunavik,30,-1,28,2,0,0,29,1,14260,210.38,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,19,0,19,0,2,0,17,0,18385,103.35,0.00,10.88
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,158,3,156,2,0,0,145,13,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,202641,2819,194077,8564,8226,61,172047,22368,8539073,2373.10,261.95,96.33
