Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2881;8,1;2146,1;360;268,2
Anjou;887;2,5;2072,6;51;119,2
Baie D'urfé;33;0,1;*863,2;< 5;n.p.
Beaconsfield;87;0,2;450,2;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2878;8,1;1728,3;262;157,3
Côte-Saint-Luc;716;2;2206,6;65;200,3
Dollard-des-Ormeaux;574;1,6;1173,8;83;169,7
Dorval;233;0,7;1227,6;50;263,4
Hampstead;91;0,3;1305;< 5;n.p.
Kirkland;163;0,5;808,9;23;*114,1
Lachine;780;2,2;1753,2;100;224,8
LaSalle;1456;4,1;1894,5;184;239,4
L'Île-Bizard–Sainte-Geneviève;250;0,7;1357,7;46;249,8
Mercier–Hochelaga-Maisonneuve;2891;8,2;2125,4;373;274,2
Montréal Est;57;0,2;1480,5;5;n.p.
Montréal-Nord;3076;8,7;3651,7;248;294,4
Montréal-Ouest;38;0,1;752,5;< 5;n.p.
Mont-Royal;330;0,9;1627,5;77;379,8
Outremont;502;1,4;2095,7;12;*50,1
Pierrefonds–Roxboro;734;2,1;1059,2;39;56,3
Plateau Mont-Royal;1513;4,3;1454,8;142;136,5
Pointe-Claire;264;0,7;841,3;40;127,5
Rivière-des-Prairies–Pointe-aux-Trembles;2624;7,4;2458,2;242;226,7
Rosemont–La Petite Patrie;2131;6;1526,6;239;171,2
Sainte-Anne-de-Bellevue;24;0,1;*484,1;< 5;n.p.
Saint-Laurent;1496;4,2;1513,7;121;122,4
Saint-Léonard;1514;4,3;1933,5;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1300;3,7;1663,4;182;232,9
Verdun;1175;3,3;1697,3;159;229,7
Ville-Marie;1529;4,3;1714,7;87;97,6
Villeray–Saint-Michel–Parc-Extension;2892;8,2;2010,4;133;92,5
Westmount;241;0,7;1186,5;37;182,2
Territoire à confirmer;845;;;45;
Total à Montréal;36207;;1752,8;3487;168,8
