Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;n.d.;238;177,3;10320;7687,4;< 5;n.p.;477;355,3
Anjou;n.d.;77;179,9;3487;8148;0;;76;177,6
Baie D'urfé;n.d.;< 5;n.p.;95;2485;0;;< 5;n.p.
Beaconsfield;n.d.;12;* 62,1;462;2390,8;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;n.d.;232;139,3;11733;7046;< 5;n.p.;364;218,6
Côte-Saint-Luc;n.d.;66;203,4;2782;8573,7;< 5;n.p.;116;357,5
Dollard-des-Ormeaux;n.d.;71;145,2;2776;5677;< 5;n.p.;122;249,5
Dorval;n.d.;14;* 73,8;799;4209,7;0;;67;353
Hampstead;n.d.;7;n.p.;386;5535,6;< 5;n.p.;6;n.p.
Kirkland;n.d.;29;* 143,9;748;3712;0;;33;* 163,8
Lachine;n.d.;35;* 78,7;2919;6561,2;< 5;n.p.;170;382,1
LaSalle;n.d.;153;199,1;5574;7252,8;0;;239;311
L'Île-Bizard–Sainte-Geneviève;n.d.;14;* 76;1057;5740,5;< 5;n.p.;75;407,3
Mercier–Hochelaga-Maisonneuve;n.d.;160;117,6;8617;6334,9;0;;446;327,9
Montréal Est;n.d.;< 5;n.p.;268;6961;0;;9;* 233,8
Montréal-Nord;n.d.;134;159,1;8920;10589,5;< 5;n.p.;333;395,3
Montréal-Ouest;n.d.;15;* 297;185;3663,4;0;;< 5;n.p.
Mont-Royal;n.d.;8;n.p.;1108;5464,6;0;;93;458,7
Outremont;n.d.;13;* 54,3;1261;5264,3;< 5;n.p.;28;* 116,9
Pierrefonds–Roxboro;n.d.;104;150,1;4178;6029,1;0;;83;119,8
Plateau Mont-Royal;n.d.;108;103,8;4634;4455,8;0;;172;165,4
Pointe-Claire;n.d.;18;* 57,4;1072;3416,2;< 5;n.p.;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;n.d.;136;127,4;8856;8296,6;< 5;n.p.;314;294,2
Rosemont–La Petite Patrie;n.d.;120;86;6976;4997,5;< 5;n.p.;323;231,4
Sainte-Anne-de-Bellevue;n.d.;< 5;n.p.;137;2763,2;0;;12;* 242
Saint-Laurent;n.d.;271;274,2;8214;8311,4;< 5;n.p.;154;155,8
Saint-Léonard;n.d.;128;163,5;7669;9793,8;< 5;n.p.;142;181,3
Senneville;n.d.;0;;23;* 2497,3;0;;0;
Sud-Ouest;n.d.;111;142;3859;4937,9;< 5;n.p.;205;262,3
Verdun;n.d.;43;62,1;3105;4485,1;0;;195;281,7
Ville-Marie;n.d.;181;203;4786;5367,3;< 5;n.p.;122;136,8
Villeray–Saint-Michel–Parc-Extension;n.d.;289;200,9;10939;7604,3;< 5;n.p.;193;134,2
Westmount;n.d.;13;* 64;725;3569,3;0;;58;285,5
Territoire à confirmer;n.d.;27;;1892;;0;;25;
Total à Montréal;96;2834;137,2;130562;6320,6;29;*1,4;4733;229,1
