Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,5659,994,0,0,26,98,124,4541,4072,1118,469,206,1675,221,1587,0,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,6359,997,0,0,68,177,245,5117,4358,1242,759,212,1984,217,2001,0,0,3,3,0,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,26411,6280,5,11,508,714,1268,18893,16023,7518,2870,1151,9966,1075,10388,46,174,32,206,0,0,0,206
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,19401,1652,1,2,258,822,1080,16666,16122,2735,544,419,4285,375,3279,0,11,15,26,0,0,0,26
Région,RSS05,05 - Estrie,Total,19649,2033,0,11,477,811,1289,16317,15347,3332,970,622,3981,524,4302,1,3,15,18,0,0,0,18
Région,RSS06,06 - Montréal,Total,126992,13820,126,285,4127,6571,11181,102063,89949,24929,12114,6890,30222,7072,37043,483,1483,482,1965,38,0,38,2003
Région,RSS07,07 - Outaouais,Total,14524,3839,17,33,174,1053,1227,9408,9123,5116,285,238,4822,780,5401,0,7,21,28,5,0,5,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,2330,103,187,0,29,40,69,1971,1867,359,104,29,256,244,463,0,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,1141,163,0,0,11,54,65,913,872,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,123,22,1,0,5,11,17,84,65,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,1306,185,0,0,33,56,89,1032,983,274,49,38,346,37,323,0,0,0,0,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,24507,3452,1,10,500,1547,2053,18997,18318,5510,679,874,8257,1111,6189,6,27,26,53,0,0,0,53
Région,RSS13,13 - Laval,Total,30094,3280,13,23,604,2926,3558,23248,21886,6846,1362,809,7239,963,8208,28,82,31,113,1,0,1,114
Région,RSS14,14 - Lanaudière,Total,24113,1820,38,11,366,1874,2345,20004,18191,4109,1813,734,5263,770,5922,105,85,34,119,1,0,1,120
Région,RSS15,15 - Laurentides,Total,30466,2558,33,59,436,2626,3261,24754,21989,5712,2765,1114,7483,1086,8477,199,435,105,540,1,0,1,541
Région,RSS16,16 - Montérégie,Total,56859,4291,26,155,1825,2552,4452,48010,44700,8849,3310,2485,10682,1879,12159,75,279,218,497,13,0,13,510
Région,RSS00,Inconnu,Total,1825,51,1,0,133,63,198,1577,1432,248,145,31,261,175,393,2,5,9,14,1,0,1,15
Région,RSS98,Hors-Québec,Total,1526,125,11,10,201,112,313,1067,968,459,99,208,321,270,558,0,13,7,20,4,0,4,24
Région,RSS99,Ensemble du Québec,Total,393285,45665,460,610,9781,22107,32834,314662,286265,78623,28397,16095,97372,16837,107020,946,2607,1008,3615,64,0,64,3679

