group,1d,2d,3d,pop 2021
0-4,24254,7666,17,428991
5-11,439118,335161,17276,650347
12-17,532481,509730,111533,529446
18-29,1116657,1057971,446626,1216440
30-39,1024433,984653,514331,1118629
40-49,1029705,1005477,652236,1115327
50-59,1082129,1056739,801531,1155183
60-69,1118091,1106232,1000234,1168854
70-79,755460,754135,725209,783129
80 plus,401232,401687,391294,425520
Total 5+,7499306,7211785,4660270,8162875
Total,7523560,7219451,4660287,8591866
