group,0d,1d,2d,3d,pop 2021
0-4,0,86,18,0,109960
5-11,0,82259,55175,0,149671
12-17,0,100038,92694,0,115666
18-29,0,327134,304359,0,367326
30-39,0,283747,268224,0,330128
40-49,0,250545,239773,0,281268
50-59,0,231039,223347,0,254246
60-69,0,211066,205525,0,219244
70-79,0,147627,144304,0,148691
80 plus,0,103698,99756,0,102264
Total 12+,0,1654894,1577982,0,1818833
Total,0,1737239,1633175,0,2078464
