,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4049,2,4026,23,53,0,3987,9,196934.5,2056.01,4.57,26.91,2
02,02 - Saguenay-Lac-Saint-Jean,11148,3,10927,221,271,0,10860,17,277505,4017.22,6.13,97.66,0
03,03 - Capitale-Nationale,33566,6,33213,353,1119,0,32319,128,757803,4429.38,16.84,147.66,15
04,04 - Mauricie et Centre-du-Québec,16435,19,16193,242,563,0,15676,196,523331.5,3140.46,37.38,107.58,25
05,05 - Estrie,15842,24,15333,509,355,0,15251,236,494966.5,3200.62,47.51,71.72,24
06,06 - Montréal,140935,232,137999,2936,4780,0,134033,2122,2072060.5,6801.68,102.09,230.69,264
07,07 - Outaouais,13329,30,12883,446,215,0,12851,263,402744,3309.55,65.03,53.38,23
08,08 - Abitibi-Témiscamingue,1218,0,1185,33,9,0,1198,11,147637,825.00,7.45,6.10,3
09,09 - Côte-Nord,598,0,579,19,4,0,591,3,89700.5,666.66,3.36,4.46,0
10,10 - Nord-du-Québec,134,0,132,2,0,0,131,3,13521.5,991.01,22.25,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2117,2,2097,20,47,0,2042,28,89823,2356.86,31.23,52.33,1
12,12 - Chaudière-Appalaches,19891,25,19615,276,368,0,19239,284,431109.5,4613.91,65.75,85.36,29
13,13 - Laval,34742,74,32849,1893,926,1,32965,851,444658.5,7813.19,190.56,208.25,84
14,14 - Lanaudière,25797,69,25086,711,517,0,24687,593,522367,4938.48,113.03,98.97,58
15,15 - Laurentides,22850,59,22246,604,511,0,21801,538,630238,3625.61,84.92,81.08,82
16,16 - Montérégie,54840,92,52889,1951,1563,0,52299,978,1438226,3813.03,67.74,108.68,97
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,4,0,133,5,18507,767.28,26.84,21.61,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,738,2,733,5,0,0,708,30,.,.,.,.,1
999,Ensemble du Québec,398425,639,388178,10247,11305,1,380825,6295,8565469.5,4651.53,73.27,131.98,709

