Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2708,994,,,5,9,1700,1008,1613,185,1566,220,1489
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3173,997,,,8,30,2138,1035,1941,161,1850,203,1820
Région,RSS03,03 - Capitale-Nationale,14857,6273,5,11,136,145,8287,6570,9592,789,9247,1037,9797
Région,RSS04,04 - Mauricie et Centre-du-Québec,6118,1651,1,2,72,320,4072,2046,3351,250,3190,364,2616
Région,RSS05,05 - Estrie,7274,2020,,11,55,128,5060,2214,3304,273,3140,326,3239
Région,RSS06,06 - Montréal,67247,13809,126,284,974,2878,49176,18071,31208,3580,27134,5399,33283
Région,RSS07,07 - Outaouais,7496,3839,17,33,84,424,3099,4397,5351,155,4163,1114,5744
Région,RSS08,08 - Abitibi-Témiscamingue,860,100,193,,6,11,550,310,420,10,219,234,589
Région,RSS09,09 - Côte-Nord,290,162,,,3,1,124,166,235,14,223,35,214
Région,RSS10,10 - Nord-du-Québec,62,22,2,,1,11,26,36,60,3,56,4,55
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,518,185,,,8,3,322,196,331,17,296,35,272
Région,RSS12,12 - Chaudière-Appalaches,11225,3452,1,10,21,31,7710,3515,7594,477,6786,764,4926
Région,RSS13,13 - Laval,16816,3278,13,23,248,1142,12112,4704,7722,417,5398,855,7694
Région,RSS14,14 - Lanaudière,10026,1818,38,11,115,742,7302,2724,5014,411,4131,680,5056
Région,RSS15,15 - Laurentides,11123,2554,33,59,139,847,7491,3632,6286,782,5684,960,6684
Région,RSS16,16 - Montérégie,24046,4289,25,154,418,1022,18138,5908,12075,1065,9444,1933,11320
Région,RSS00,Inconnu,460,50,1,,5,35,369,91,350,10,220,85,290
Région,RSS98,Hors-Québec,706,123,11,9,97,97,369,337,355,116,287,199,464
Région,RSS99,Ensemble du Québec,185005,45616,466,607,2395,7876,128045,56960,96802,8715,83034,14447,95552

