group,0d,1d,2d,3d,pop 2021
0-4,0,83,14,0,109960
5-11,0,79588,60993,0,149671
12-17,0,100314,93674,0,115666
18-29,0,324752,303447,0,367326
30-39,0,285581,271421,0,330128
40-49,0,252955,243206,0,281268
50-59,0,230981,224178,0,254246
60-69,0,212629,207626,0,219244
70-79,0,150044,146883,0,148691
80 plus,0,107423,103707,0,102264
Total 12+,0,1664679,1594142,0,1818833
Total,0,1744350,1655149,0,2078464
