Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2899;8,1;2159,5;360;268,2
Anjou;897;2,5;2096;51;119,2
Baie D'urfé;33;0,1;*863,2;< 5;n.p.
Beaconsfield;87;0,2;450,2;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2911;8,2;1748,1;262;157,3
Côte-Saint-Luc;723;2;2228,2;65;200,3
Dollard-des-Ormeaux;578;1,6;1182;83;169,7
Dorval;233;0,7;1227,6;50;263,4
Hampstead;92;0,3;1319,4;< 5;n.p.
Kirkland;165;0,5;818,8;23;*114,1
Lachine;782;2,2;1757,7;100;224,8
LaSalle;1459;4,1;1898,4;184;239,4
L'Île-Bizard–Sainte-Geneviève;250;0,7;1357,7;46;249,8
Mercier–Hochelaga-Maisonneuve;2907;8,2;2137,1;373;274,2
Montréal Est;58;0,2;1506,5;5;n.p.
Montréal-Nord;3091;8,7;3669,5;248;294,4
Montréal-Ouest;39;0,1;772,3;< 5;n.p.
Mont-Royal;334;0,9;1647,3;77;379,8
Outremont;507;1,4;2116,6;12;*50,1
Pierrefonds–Roxboro;744;2,1;1073,6;39;56,3
Plateau Mont-Royal;1529;4,3;1470,2;142;136,5
Pointe-Claire;265;0,7;844,5;40;127,5
Rivière-des-Prairies–Pointe-aux-Trembles;2644;7,4;2477;242;226,7
Rosemont–La Petite Patrie;2143;6;1535,2;239;171,2
Sainte-Anne-de-Bellevue;23;0,1;*463,9;< 5;n.p.
Saint-Laurent;1522;4,3;1540;121;122,4
Saint-Léonard;1528;4,3;1951,3;63;80,5
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1310;3,7;1676,2;182;232,9
Verdun;1180;3,3;1704,5;159;229,7
Ville-Marie;1544;4,3;1731,5;89;99,8
Villeray–Saint-Michel–Parc-Extension;2925;8,2;2033,3;133;92,5
Westmount;243;0,7;1196,3;37;182,2
Territoire à confirmer;849;;;45;
Total à Montréal;36497;;1766,8;3490;169
