,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4025,1,4002,23,53,0,3964,8,196934.5,2043.83,4.07,26.91,1
02,02 - Saguenay-Lac-Saint-Jean,11109,2,10886,223,271,0,10818,20,277505,4003.17,7.21,97.66,0
03,03 - Capitale-Nationale,33336,12,32982,354,1119,0,32092,125,757803,4399.03,16.44,147.66,17
04,04 - Mauricie et Centre-du-Québec,16088,23,15848,240,561,0,15304,223,523331.5,3074.15,42.53,107.20,36
05,05 - Estrie,15448,13,14929,519,355,0,14932,161,494966.5,3121.02,32.41,71.72,30
06,06 - Montréal,137734,130,134802,2932,4775,0,131296,1663,2072060.5,6647.20,80.01,230.45,184
07,07 - Outaouais,12922,18,12475,447,215,0,12534,173,402744,3208.49,42.77,53.38,14
08,08 - Abitibi-Témiscamingue,1199,1,1166,33,9,0,1184,6,147637,812.13,4.06,6.10,0
09,09 - Côte-Nord,594,0,575,19,4,0,586,4,89700.5,662.20,4.48,4.46,0
10,10 - Nord-du-Québec,127,1,125,2,0,0,114,13,13521.5,939.24,96.40,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2087,0,2067,20,47,0,2035,5,89823,2323.46,5.58,52.33,0
12,12 - Chaudière-Appalaches,19462,4,19180,282,367,0,19033,62,431109.5,4514.40,14.35,85.13,7
13,13 - Laval,33494,56,31634,1860,920,0,32067,507,444658.5,7532.52,113.53,206.90,56
14,14 - Lanaudière,24984,35,24272,712,517,0,24107,360,522367,4782.84,68.62,98.97,41
15,15 - Laurentides,21926,23,21322,604,510,0,21109,307,630238,3479.00,48.46,80.92,42
16,16 - Montérégie,53398,62,51429,1969,1559,0,51118,721,1438226,3712.77,49.94,108.40,87
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,1
18,18 - Terres-Cries-de-la-Baie-James,133,0,133,0,3,0,122,8,18507,718.65,42.94,16.21,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,679,5,674,5,0,0,640,39,.,.,.,.,6
999,Ensemble du Québec,388799,386,378552,10247,11285,0,373109,4405,8565469.5,4539.14,51.27,131.75,524

