Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      8322,      5351,       64.3,      1645,       19.8,      1326,       15.9,        64,n.d.,n.d.,n.d.,n.d.,        54,       84.4
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     15355,      8261,       53.8,      3399,       22.1,      3695,       24.1,       279,n.d.,n.d.,n.d.,n.d.,       265,       95.0
Région,RSS03,03 - Capitale-Nationale,     46856,     29030,       62.0,      8901,       19.0,      8925,       19.0,      1132,        17,        1.5,        79,        7.0,      1036,       91.5
Région,RSS04,04 - Mauricie et Centre-du-Québec,     31307,     19685,       62.9,      5918,       18.9,      5704,       18.2,       595,        11,        1.8,        26,        4.4,       558,       93.8
Région,RSS05,05 - Estrie,     29730,     18792,       63.2,      5814,       19.6,      5124,       17.2,       405,        13,        3.2,        22,        5.4,       370,       91.4
Région,RSS06,06 - Montréal,    192781,    121119,       62.8,     34055,       17.7,     37607,       19.5,      4791,       130,        2.7,       206,        4.3,      4455,       93.0
Région,RSS07,07 - Outaouais,     22245,     15299,       68.8,      3643,       16.4,      3303,       14.8,       219,         6,        2.7,        11,        5.0,       202,       92.2
Région,RSS08,08 - Abitibi-Témiscamingue,      3092,      1927,       62.3,       630,       20.4,       535,       17.3,        20,n.d.,n.d.,n.d.,n.d.,        18,       90.0
Région,RSS09,09 - Côte-Nord,      1742,      1166,       66.9,       316,       18.1,       260,       14.9,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       223,       154,       69.1,        33,       14.8,        36,       16.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      3173,      1736,       54.7,       633,       19.9,       804,       25.3,        48,n.d.,n.d.,n.d.,n.d.,        44,       91.7
Région,RSS12,12 - Chaudière-Appalaches,     34848,     22464,       64.5,      6558,       18.8,      5826,       16.7,       394,         8,        2.0,        22,        5.6,       364,       92.4
Région,RSS13,13 - Laval,     49496,     31847,       64.3,      9524,       19.2,      8125,       16.4,       939,         7,        0.7,        51,        5.4,       881,       93.8
Région,RSS14,14 - Lanaudière,     43585,     27878,       64.0,      8583,       19.7,      7124,       16.3,       541,        11,        2.0,        17,        3.1,       513,       94.8
Région,RSS15,15 - Laurentides,     36964,     23822,       64.4,      6876,       18.6,      6266,       17.0,       531,        10,        1.9,        16,        3.0,       505,       95.1
Région,RSS16,16 - Montérégie,     91606,     57160,       62.4,     17606,       19.2,     16840,       18.4,      1624,        30,        1.8,        66,        4.1,      1528,       94.1
Région,RSS17,17 - Nunavik,      1135,       740,       65.2,       173,       15.2,       222,       19.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       427,       260,       60.9,        71,       16.6,        96,       22.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    613021,    386799,       63.1,    114397,       18.7,    111825,       18.2,     11595,       254,        2.2,       538,        4.6,     10803,       93.2
Groupe d'âge,0_9,Moins de 10 ans,     62961,     53616,       85.2,      7600,       12.1,      1745,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     82115,     68524,       83.4,     11282,       13.7,      2309,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,    100088,     81034,       81.0,     14271,       14.3,      4783,        4.8,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Groupe d'âge,30_39,30-39 ans,     92984,     65566,       70.5,     18885,       20.3,      8533,        9.2,        25,n.d.,n.d.,n.d.,n.d.,        20,       80.0
Groupe d'âge,40_49,40-49 ans,     93228,     59361,       63.7,     21797,       23.4,     12070,       12.9,        64,        14,       21.9,        13,       20.3,        37,       57.8
Groupe d'âge,50_59,50-59 ans,     75365,     38573,       51.2,     20685,       27.4,     16107,       21.4,       240,        20,        8.3,        19,        7.9,       201,       83.8
Groupe d'âge,60_69,60-69 ans,     45129,     15693,       34.8,     12393,       27.5,     17043,       37.8,       773,        43,        5.6,        65,        8.4,       665,       86.0
Groupe d'âge,70_79,70-79 ans,     25717,      3367,       13.1,      4792,       18.6,     17558,       68.3,      2285,        41,        1.8,       130,        5.7,      2114,       92.5
Groupe d'âge,80_89,80-89 ans,     22800,       786,        3.4,      1970,        8.6,     20044,       87.9,      4500,        61,        1.4,       176,        3.9,      4263,       94.7
Groupe d'âge,90_,90 ans et plus,     12634,       279,        2.2,       722,        5.7,     11633,       92.1,      3697,        69,        1.9,       133,        3.6,      3495,       94.5
