Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,7901,994,0,0,26,98,124,6783,6314,1118,469,206,1675,221,1587,0,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,9133,997,0,0,68,177,245,7891,7132,1242,759,212,1984,217,2001,0,0,3,3,0,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,33516,6280,5,11,510,714,1274,25996,23125,7520,2871,1151,9966,1078,10391,50,246,32,278,0,0,0,278
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,23927,1652,1,2,258,822,1081,21192,20648,2735,544,419,4285,375,3279,1,12,15,27,0,0,0,27
Région,RSS05,05 - Estrie,Total,22657,2033,0,11,481,811,1293,19321,18351,3336,970,622,3981,528,4306,1,3,20,23,0,0,0,23
Région,RSS06,06 - Montréal,Total,149253,13820,126,285,4135,6571,11206,124316,112186,24937,12130,6890,30222,7096,37067,500,1827,512,2339,26,0,26,2365
Région,RSS07,07 - Outaouais,Total,20371,3839,17,33,178,1053,1231,15251,14963,5120,288,238,4822,787,5408,0,7,24,31,2,0,2,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,3262,103,187,0,29,40,70,2903,2799,359,104,29,256,244,463,1,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,1845,163,0,0,11,54,65,1617,1576,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,228,22,1,0,5,11,17,189,170,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2009,185,0,0,33,56,90,1735,1686,274,49,38,346,37,323,1,1,0,1,0,0,0,1
Région,RSS12,12 - Chaudière-Appalaches,Total,29781,3452,1,10,507,1547,2060,24264,23582,5517,682,874,8257,1121,6199,6,36,26,62,0,0,0,62
Région,RSS13,13 - Laval,Total,35433,3280,13,23,606,2926,3563,28585,27223,6848,1362,809,7239,965,8210,31,104,31,135,1,0,1,136
Région,RSS14,14 - Lanaudière,Total,31368,1820,38,11,368,1874,2347,27257,25443,4111,1814,734,5263,773,5925,105,101,37,138,1,0,1,139
Région,RSS15,15 - Laurentides,Total,40129,2558,33,59,439,2626,3264,34414,31649,5715,2765,1114,7483,1089,8480,199,447,108,555,1,0,1,556
Région,RSS16,16 - Montérégie,Total,70243,4291,26,155,1835,2552,4467,61384,58070,8859,3314,2485,10682,1893,12173,80,330,240,570,11,0,11,581
Région,RSS00,Inconnu,Total,2145,51,1,0,138,63,203,1892,1747,253,145,31,261,180,398,2,5,9,14,1,0,1,15
Région,RSS98,Hors-Québec,Total,1965,125,11,10,201,112,313,1506,1407,459,99,208,321,270,558,0,16,7,23,4,0,4,27
Région,RSS99,Ensemble du Québec,Total,485166,45665,460,610,9828,22107,32913,406496,378071,78670,28425,16095,97372,16912,107095,978,3138,1074,4212,47,0,47,4259

