group,0d,1d,2d,3d,pop 2021
0-4,0,91,20,0,109960
5-11,0,80177,37617,0,149671
12-17,0,99739,91494,0,115666
18-29,0,325540,301992,0,367326
30-39,0,281852,265571,0,330128
40-49,0,249190,237750,0,281268
50-59,0,230611,222363,0,254246
60-69,0,210314,204455,0,219244
70-79,0,147043,143560,0,148691
80 plus,0,102723,98704,0,102264
Total 12+,0,1647012,1565889,0,1818833
Total,0,1727280,1603526,0,2078464
