Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;21;220;163,9;11108;8274,4;0;;480;357,6
Anjou;< 5;64;149,5;3687;8615,3;0;;78;182,3
Baie D'urfé;< 5;< 5;n.p.;98;2563,4;0;;< 5;n.p.
Beaconsfield;-1;21;* 108,7;530;2742,7;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;16;182;109,3;12433;7466,4;0;;369;221,6
Côte-Saint-Luc;< 5;30;* 92,5;2913;8977,4;0;;119;366,7
Dollard-des-Ormeaux;8;48;98,2;2947;6026,7;0;;125;255,6
Dorval;< 5;11;* 58;852;4488,9;0;;68;358,3
Hampstead;0;8;n.p.;425;6094,9;0;;6;n.p.
Kirkland;0;15;* 74,4;806;3999,8;0;;33;* 163,8
Lachine;7;48;107,9;3056;6869,1;0;;170;382,1
LaSalle;11;87;113,2;5940;7729;0;;242;314,9
L'Île-Bizard–Sainte-Geneviève;< 5;27;* 146,6;1124;6104,4;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;13;195;143,4;9284;6825,3;0;;446;327,9
Montréal Est;0;9;* 233,8;296;7688,3;0;;9;* 233,8
Montréal-Nord;27;205;243,4;9585;11379;0;;336;398,9
Montréal-Ouest;0;11;* 217,8;203;4019,8;0;;< 5;n.p.
Mont-Royal;< 5;15;* 74;1164;5740,8;0;;93;458,7
Outremont;< 5;10;* 41,7;1305;5447,9;0;;29;* 121,1
Pierrefonds–Roxboro;< 5;81;116,9;4470;6450,5;0;;84;121,2
Plateau Mont-Royal;8;124;119,2;5070;4875;0;;172;165,4
Pointe-Claire;< 5;17;* 54,2;1126;3588,3;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;16;281;263,2;9529;8927;< 5;n.p.;315;295,1
Rosemont–La Petite Patrie;21;152;108,9;7462;5345,7;0;;324;232,1
Sainte-Anne-de-Bellevue;< 5;12;* 242;163;3287,6;0;;12;* 242
Saint-Laurent;12;120;121,4;8745;8848,7;0;;155;156,8
Saint-Léonard;22;224;286,1;8230;10510,2;0;;144;183,9
Senneville;0;< 5;n.p.;27;* 2931,6;0;;0;
Sud-Ouest;10;130;166,3;4288;5486,8;0;;206;263,6
Verdun;< 5;40;57,8;3326;4804,3;0;;198;286
Ville-Marie;15;144;161,5;5295;5938,1;0;;125;140,2
Villeray–Saint-Michel–Parc-Extension;19;216;150,2;11806;8207;< 5;n.p.;200;139
Westmount;< 5;18;* 88,6;786;3869,6;0;;58;285,5
Territoire à confirmer;-2;58;;2058;;0;;25;
Total à Montréal;250;2829;137;140137;6784,1;< 5;n.p.;4778;231,3
