Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,10527,994,0,0,26,98,125,9409,8938,1118,471,206,1675,223,1589,1,0,18,18,0,2,2,20
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,12643,997,0,0,68,177,245,11401,10642,1242,759,212,1984,217,2001,0,0,27,27,0,1,1,28
Région,RSS03,03 - Capitale-Nationale,Total,44778,6280,5,11,513,714,1279,37255,34363,7523,2892,1151,9966,1102,10415,52,18,313,331,0,22,22,353
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,32301,1652,1,2,259,822,1082,29565,29018,2736,547,419,4284,379,3283,1,8,417,425,0,3,3,428
Région,RSS05,05 - Estrie,Total,29180,2033,0,11,535,811,1349,25790,24819,3390,971,622,3982,583,4361,3,5,34,39,0,1,1,40
Région,RSS06,06 - Montréal,Total,186092,13821,126,285,4215,6571,11320,161074,148923,25018,12151,6890,30223,7197,37169,534,2853,870,3723,23,38,61,3784
Région,RSS07,07 - Outaouais,Total,26383,3839,17,33,194,1053,1247,21247,20951,5136,296,238,4822,811,5432,0,7,35,42,2,12,14,56
Région,RSS08,08 - Abitibi-Témiscamingue,Total,5048,103,187,0,29,40,71,4689,4584,359,105,29,256,245,464,2,1,5,6,0,1,1,7
Région,RSS09,09 - Côte-Nord,Total,3251,163,0,0,11,54,65,3023,2982,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,571,22,1,0,5,11,17,532,513,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2782,185,0,0,33,56,90,2508,2459,274,49,38,346,37,323,1,0,3,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,38446,3452,1,10,522,1547,2075,32914,32228,5532,686,874,8257,1140,6218,6,2,88,90,0,7,7,97
Région,RSS13,13 - Laval,Total,43916,3280,13,23,610,2926,3574,37064,35695,6852,1369,809,7239,977,8221,38,171,40,211,1,7,8,219
Région,RSS14,14 - Lanaudière,Total,41420,1819,38,11,417,1874,2397,37261,35434,4159,1827,734,5263,834,5986,106,142,111,253,1,14,15,268
Région,RSS15,15 - Laurentides,Total,50779,2558,33,59,512,2626,3339,44991,42184,5788,2807,1114,7484,1202,8595,201,480,225,705,1,41,42,747
Région,RSS16,16 - Montérégie,Total,87361,4291,26,155,1871,2552,4506,78466,75108,8895,3358,2485,10682,1973,12253,83,478,517,995,11,47,58,1053
Région,RSS00,Inconnu,Total,3448,51,1,0,203,63,268,3130,2986,318,144,31,261,245,462,2,9,27,36,1,0,1,37
Région,RSS98,Hors-Québec,Total,3949,125,11,10,202,112,315,3489,3385,460,104,208,321,276,564,1,18,14,32,4,5,9,41
Région,RSS99,Ensemble du Québec,Total,622875,45665,460,610,10225,22107,33364,543808,515212,79067,28596,16095,97374,17479,107663,1032,4193,2750,6943,44,201,245,7188

