Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,     12021,      7279,       60.6,      2421,       20.1,      2321,       19.3,        83,         5,        6.0,         6,        7.2,        72,       86.7
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     20830,     11260,       54.1,      4716,       22.6,      4854,       23.3,       313,n.d.,n.d.,n.d.,n.d.,       295,       94.2
Région,RSS03,03 - Capitale-Nationale,     62937,     38101,       60.5,     12205,       19.4,     12631,       20.1,      1260,        21,        1.7,        87,        6.9,      1152,       91.4
Région,RSS04,04 - Mauricie et Centre-du-Québec,     42357,     25257,       59.6,      8035,       19.0,      9065,       21.4,       761,        18,        2.4,        32,        4.2,       711,       93.4
Région,RSS05,05 - Estrie,     37310,     22494,       60.3,      7470,       20.0,      7346,       19.7,       495,        19,        3.8,        29,        5.9,       447,       90.3
Région,RSS06,06 - Montréal,    236880,    147527,       62.3,     42306,       17.9,     47047,       19.9,      5090,       145,        2.8,       237,        4.7,      4708,       92.5
Région,RSS07,07 - Outaouais,     30092,     20339,       67.6,      5098,       16.9,      4655,       15.5,       258,         7,        2.7,        12,        4.7,       239,       92.6
Région,RSS08,08 - Abitibi-Témiscamingue,      5677,      3275,       57.7,      1169,       20.6,      1233,       21.7,        41,n.d.,n.d.,n.d.,n.d.,        36,       87.8
Région,RSS09,09 - Côte-Nord,      3705,      2275,       61.4,       681,       18.4,       749,       20.2,        11,n.d.,n.d.,n.d.,n.d.,         9,       81.8
Région,RSS10,10 - Nord-du-Québec,       750,       496,       66.1,       127,       16.9,       127,       16.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      4415,      2468,       55.9,       892,       20.2,      1055,       23.9,        50,n.d.,n.d.,n.d.,n.d.,        46,       92.0
Région,RSS12,12 - Chaudière-Appalaches,     46733,     29440,       63.0,      8897,       19.0,      8396,       18.0,       485,         8,        1.6,        33,        6.8,       444,       91.5
Région,RSS13,13 - Laval,     60732,     38688,       63.7,     11833,       19.5,     10211,       16.8,       993,         9,        0.9,        56,        5.6,       928,       93.5
Région,RSS14,14 - Lanaudière,     57702,     36341,       63.0,     11498,       19.9,      9863,       17.1,       649,        14,        2.2,        26,        4.0,       609,       93.8
Région,RSS15,15 - Laurentides,     62006,     39492,       63.7,     11858,       19.1,     10656,       17.2,       624,        12,        1.9,        23,        3.7,       589,       94.4
Région,RSS16,16 - Montérégie,    116387,     70699,       60.7,     22648,       19.5,     23040,       19.8,      1914,        39,        2.0,        92,        4.8,      1783,       93.2
Région,RSS17,17 - Nunavik,      2012,      1291,       64.2,       320,       15.9,       401,       19.9,         9,n.d.,n.d.,n.d.,n.d.,         8,       88.9
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,      1590,      1048,       65.9,       251,       15.8,       291,       18.3,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    804321,    497920,       61.9,    152452,       19.0,    153949,       19.1,     13041,       307,        2.4,       654,        5.0,     12080,       92.6
Groupe d'âge,0_9,Moins de 10 ans,     72937,     62053,       85.1,      8774,       12.0,      2110,        2.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     98936,     82327,       83.2,     13712,       13.9,      2897,        2.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,    132662,    106407,       80.2,     19398,       14.6,      6857,        5.2,        10,n.d.,n.d.,n.d.,n.d.,         6,       60.0
Groupe d'âge,30_39,30-39 ans,    126625,     88069,       69.6,     26258,       20.7,     12298,        9.7,        28,n.d.,n.d.,n.d.,n.d.,        22,       78.6
Groupe d'âge,40_49,40-49 ans,    126234,     79747,       63.2,     29781,       23.6,     16706,       13.2,        75,        18,       24.0,        13,       17.3,        44,       58.7
Groupe d'âge,50_59,50-59 ans,    102221,     52467,       51.3,     27766,       27.2,     21988,       21.5,       285,        26,        9.1,        28,        9.8,       231,       81.1
Groupe d'âge,60_69,60-69 ans,     59570,     20692,       34.7,     16188,       27.2,     22690,       38.1,       890,        53,        6.0,        82,        9.2,       755,       84.8
Groupe d'âge,70_79,70-79 ans,     34434,      4427,       12.9,      6303,       18.3,     23704,       68.8,      2612,        56,        2.1,       151,        5.8,      2405,       92.1
Groupe d'âge,80_89,80-89 ans,     32370,      1243,        3.8,      3019,        9.3,     28108,       86.8,      5067,        72,        1.4,       218,        4.3,      4777,       94.3
Groupe d'âge,90_,90 ans et plus,     18332,       488,        2.7,      1253,        6.8,     16591,       90.5,      4071,        74,        1.8,       159,        3.9,      3838,       94.3
