,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1358,15,1343,15,24,0,1193,141,196795,690.06,71.65,12.20
02,02 - Saguenay–Lac-Saint-Jean,8107,55,7927,180,228,2,7300,579,277378,2922.73,208.74,82.20
03,03 - Capitale-Nationale,18928,153,18628,300,728,11,15944,2256,760147,2490.04,296.78,95.77
04,04 - Mauricie et Centre-du-Québec,10523,160,10305,218,368,1,8855,1300,524322,2006.97,247.94,70.19
05,05 - Estrie,8640,116,8256,384,188,3,7359,1093,496770,1739.24,220.02,37.84
06,06 - Montréal,76826,846,74035,2791,3923,16,64135,8768,2078464,3696.29,421.85,188.75
07,07 - Outaouais,5062,45,4720,342,125,3,4484,453,404456,1251.56,112.00,30.91
08,08 - Abitibi-Témiscamingue,431,17,397,34,5,0,331,95,147658,291.89,64.34,3.39
09,09 - Côte-Nord,311,1,298,13,3,0,293,15,89368,348.00,16.78,3.36
10,10 - Nord-du-Québec,76,0,74,2,0,0,72,4,13485,563.59,29.66,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1654,6,1635,19,43,0,1528,83,89648,1844.99,92.58,47.97
12,12 - Chaudière-Appalaches,9030,169,8774,256,199,1,7754,1077,431910,2090.71,249.36,46.07
13,13 - Laval,18127,293,16749,1378,772,2,15129,2226,446572,4059.14,498.46,172.87
14,14 - Lanaudière,16087,189,15381,706,403,1,14179,1505,524642,3066.28,286.86,76.81
15,15 - Laurentides,11814,135,11212,602,368,0,10306,1140,633508,1864.85,179.95,58.09
16,16 - Montérégie,30793,436,29357,1436,1109,7,25837,3847,1443701,2132.92,266.47,76.82
17,17 - Nunavik,31,1,29,2,0,0,30,1,14413,215.08,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,20,0,20,0,2,0,17,1,18629,107.36,5.37,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,177,4,175,2,0,0,154,23,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,217999,2641,209319,8680,8488,47,184904,24607,8591866,2537.27,286.40,98.79
