,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3974,0,3948,26,53,0,3913,8,196934.5,2017.93,4.07,26.91,0
02,02 - Saguenay-Lac-Saint-Jean,11029,0,10806,223,271,0,10757,1,277505,3974.34,0.36,97.66,1
03,03 - Capitale-Nationale,32873,2,32520,353,1118,0,31724,31,757803,4337.93,4.08,147.53,2
04,04 - Mauricie et Centre-du-Québec,15252,3,15012,240,526,0,14689,37,523331.5,2914.41,7.06,100.51,0
05,05 - Estrie,14923,1,14406,517,352,0,14565,6,494966.5,3014.95,1.21,71.12,0
06,06 - Montréal,133454,38,130525,2929,4773,0,128280,401,2072060.5,6440.64,19.29,230.35,37
07,07 - Outaouais,12589,1,12141,448,215,0,12364,10,402744,3125.81,2.47,53.38,0
08,08 - Abitibi-Témiscamingue,1148,0,1115,33,9,0,1137,2,147637,777.58,1.35,6.10,0
09,09 - Côte-Nord,579,0,560,19,4,0,575,0,89700.5,645.48,0.00,4.46,0
10,10 - Nord-du-Québec,111,0,109,2,0,0,109,2,13521.5,820.91,14.83,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2072,1,2052,20,46,0,2018,8,89823,2306.76,8.92,51.21,0
12,12 - Chaudière-Appalaches,19299,1,19018,281,368,0,18927,4,431109.5,4476.59,0.93,85.36,1
13,13 - Laval,31967,16,30139,1828,917,0,30919,131,444658.5,7189.11,29.33,206.23,14
14,14 - Lanaudière,24150,3,23437,713,517,0,23598,35,522367,4623.19,6.67,98.97,7
15,15 - Laurentides,21095,5,20491,604,510,0,20550,35,630238,3347.15,5.52,80.92,5
16,16 - Montérégie,51631,2,49675,1956,1558,0,49979,94,1438226,3589.91,6.51,108.33,11
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,512,2,507,5,0,0,503,9,.,.,.,.,2
999,Ensemble du Québec,376828,75,366628,10200,11240,0,364774,814,8565469.5,4399.39,9.47,131.22,80

