Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrCriblageBA1LSPQ,nbrCriblageBA2LSPQ,nbrOmicronTotalCrib,nbrBA2SANGER,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,14861,994,0,0,81,3,97,1,0,182,13586,13115,1275,471,207,1674,361,1746,0,18,3,0,0,0,21,0,0,0,78,78,99
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,17440,997,0,0,109,10,177,0,0,296,16054,15290,1386,764,212,1984,354,2150,1,27,8,0,0,0,36,0,0,3,57,57,93
Région,RSS03,03 - Capitale-Nationale,Total,58407,6282,5,11,628,0,711,52,0,1391,48834,45934,9573,2900,1158,9964,1633,12473,14,313,1211,63,0,43,1644,0,0,11,240,240,1884
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,40294,1652,1,2,333,96,822,1,0,1252,36875,36315,3419,560,419,4285,687,3979,7,417,4,0,0,0,428,0,0,15,84,84,512
Région,RSS05,05 - Estrie,Total,34847,2033,0,11,699,14,810,1,0,1524,31064,30074,3783,990,623,3981,1145,4773,4,32,3,1,0,0,40,0,0,3,175,175,215
Région,RSS06,06 - Montréal,Total,208776,13821,126,285,4432,54,6570,516,3,11575,177921,163074,30855,14847,7183,30472,9172,45702,2291,866,1083,100,27,66,4433,1,22,157,592,615,5048
Région,RSS07,07 - Outaouais,Total,29982,3838,17,33,220,2,1053,0,0,1275,24714,23733,5268,981,239,4820,973,6249,7,34,1,0,0,0,42,0,2,5,61,63,105
Région,RSS08,08 - Abitibi-Témiscamingue,Total,7503,103,187,0,38,1,40,2,0,81,7112,6812,391,300,45,258,266,691,0,5,1,1,0,0,7,0,0,1,13,13,20
Région,RSS09,09 - Côte-Nord,Total,6003,163,0,0,14,0,54,0,0,68,5755,5714,248,41,22,279,41,289,0,6,7,0,0,0,13,0,0,1,4,4,17
Région,RSS10,10 - Nord-du-Québec,Total,906,22,1,0,5,0,11,1,0,17,862,842,44,20,13,50,7,64,1,0,3,0,0,0,4,0,0,0,0,0,4
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,4774,185,0,0,34,0,56,1,0,91,4489,4440,285,49,38,346,50,334,0,3,3,0,0,0,6,0,0,0,3,3,9
Région,RSS12,12 - Chaudière-Appalaches,Total,47077,3450,1,10,609,13,1542,6,0,2170,41198,39949,5879,1249,881,8249,1395,7128,1,88,97,7,0,3,196,0,0,1,52,52,248
Région,RSS13,13 - Laval,Total,49295,3280,13,23,633,3,2926,34,0,3596,41744,38666,7551,3078,813,7250,1120,10629,146,40,261,27,7,17,498,0,1,31,140,141,639
Région,RSS14,14 - Lanaudière,Total,48348,1819,38,11,529,13,1868,104,0,2514,43175,40673,5173,2502,746,5288,776,7675,122,111,343,12,7,7,602,0,2,9,187,189,791
Région,RSS15,15 - Laurentides,Total,59493,2559,33,59,549,7,2626,199,0,3381,51672,48466,7821,3206,1161,7583,836,11027,666,224,572,18,2,18,1500,0,1,12,288,289,1789
Région,RSS16,16 - Montérégie,Total,101684,4291,26,155,1981,46,2552,80,0,4659,91157,86760,10527,4397,2496,10705,2386,14924,397,514,57,5,9,6,988,0,11,42,397,408,1396
Région,RSS00,Inconnu,Total,4786,52,1,0,253,1,63,2,0,319,4343,4139,443,204,42,271,337,647,12,14,9,1,1,0,37,0,1,0,33,34,71
Région,RSS98,Hors-Québec,Total,5204,125,11,10,204,2,112,0,0,318,4666,4547,538,119,213,321,327,657,19,15,4,0,0,0,38,0,1,9,35,36,74
Région,RSS99,Ensemble du Québec,Total,739680,45666,460,610,11351,265,22090,1000,3,34709,645221,608543,94459,36678,16511,97780,21866,131137,3688,2727,3670,235,53,160,10533,1,41,300,2439,2481,13014

