Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      4633,      2914,       62.9,       895,       19.3,       824,       17.8,        64,n.d.,n.d.,n.d.,n.d.,        54,       84.4
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     11590,      6054,       52.2,      2516,       21.7,      3020,       26.1,       273,n.d.,n.d.,n.d.,n.d.,       259,       94.9
Région,RSS03,03 - Capitale-Nationale,     35245,     20877,       59.2,      6669,       18.9,      7699,       21.8,      1128,        17,        1.5,        79,        7.0,      1032,       91.5
Région,RSS04,04 - Mauricie et Centre-du-Québec,     19263,     11645,       60.5,      3580,       18.6,      4038,       21.0,       573,        11,        1.9,        23,        4.0,       539,       94.1
Région,RSS05,05 - Estrie,     21551,     13437,       62.3,      4114,       19.1,      4000,       18.6,       381,        10,        2.6,        17,        4.5,       354,       92.9
Région,RSS06,06 - Montréal,    144732,     86924,       60.1,     25518,       17.6,     32290,       22.3,      4768,       128,        2.7,       197,        4.1,      4443,       93.2
Région,RSS07,07 - Outaouais,     13501,      8890,       65.8,      2154,       16.0,      2457,       18.2,       218,         6,        2.8,        11,        5.0,       201,       92.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1519,       927,       61.0,       312,       20.5,       280,       18.4,        13,n.d.,n.d.,n.d.,n.d.,        12,       92.3
Région,RSS09,09 - Côte-Nord,       799,       539,       67.5,       135,       16.9,       125,       15.6,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       132,        79,       59.8,        24,       18.2,        29,       22.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2298,      1210,       52.7,       444,       19.3,       644,       28.0,        48,n.d.,n.d.,n.d.,n.d.,        44,       91.7
Région,RSS12,12 - Chaudière-Appalaches,     25341,     16071,       63.4,      4727,       18.7,      4543,       17.9,       386,         8,        2.1,        22,        5.7,       356,       92.2
Région,RSS13,13 - Laval,     38402,     24206,       63.0,      7375,       19.2,      6821,       17.8,       929,         7,        0.8,        49,        5.3,       873,       94.0
Région,RSS14,14 - Lanaudière,     29214,     17998,       61.6,      5710,       19.5,      5506,       18.8,       533,        11,        2.1,        17,        3.2,       505,       94.7
Région,RSS15,15 - Laurentides,     27928,     17461,       62.5,      5197,       18.6,      5270,       18.9,       528,        10,        1.9,        16,        3.0,       502,       95.1
Région,RSS16,16 - Montérégie,     60973,     36424,       59.7,     11620,       19.1,     12929,       21.2,      1595,        29,        1.8,        61,        3.8,      1505,       94.4
Région,RSS17,17 - Nunavik,       943,       628,       66.6,       141,       15.0,       174,       18.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       137,        83,       60.6,        22,       16.1,        32,       23.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    438269,    266419,       60.8,     81165,       18.5,     90685,       20.7,     11447,       247,        2.2,       513,        4.5,     10687,       93.4
Groupe d'âge,0_9,Moins de 10 ans,     49242,     41934,       85.2,      5947,       12.1,      1361,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     59353,     49607,       83.6,      8079,       13.6,      1667,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     62199,     49880,       80.2,      9098,       14.6,      3221,        5.2,         8,n.d.,n.d.,n.d.,n.d.,         5,       62.5
Groupe d'âge,30_39,30-39 ans,     61710,     42848,       69.4,     12833,       20.8,      6029,        9.8,        25,n.d.,n.d.,n.d.,n.d.,        20,       80.0
Groupe d'âge,40_49,40-49 ans,     64697,     40680,       62.9,     15213,       23.5,      8804,       13.6,        62,        14,       22.6,        12,       19.4,        36,       58.1
Groupe d'âge,50_59,50-59 ans,     54544,     27125,       49.7,     15051,       27.6,     12368,       22.7,       232,        17,        7.3,        16,        6.9,       199,       85.8
Groupe d'âge,60_69,60-69 ans,     33689,     11045,       32.8,      9075,       26.9,     13569,       40.3,       753,        42,        5.6,        61,        8.1,       650,       86.3
Groupe d'âge,70_79,70-79 ans,     20887,      2435,       11.7,      3597,       17.2,     14855,       71.1,      2245,        41,        1.8,       122,        5.4,      2082,       92.7
Groupe d'âge,80_89,80-89 ans,     20333,       626,        3.1,      1646,        8.1,     18061,       88.8,      4456,        59,        1.3,       171,        3.8,      4226,       94.8
Groupe d'âge,90_,90 ans et plus,     11615,       239,        2.1,       626,        5.4,     10750,       92.6,      3664,        68,        1.9,       129,        3.5,      3467,       94.6
