Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;17;317;236,1;11450;8529,2;5;n.p.;485;361,3
Anjou;10;106;247,7;3792;8860,6;0;;78;182,3
Baie D'urfé;0;5;n.p.;103;2694,2;0;;< 5;n.p.
Beaconsfield;< 5;13;* 67,3;544;2815,2;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;10;197;118,3;12635;7587,7;0;;369;221,6
Côte-Saint-Luc;< 5;61;188;2978;9177,8;0;;119;366,7
Dollard-des-Ormeaux;< 5;61;124,7;3015;6165,8;0;;125;255,6
Dorval;0;21;* 110,6;874;4604,8;0;;68;358,3
Hampstead;0;14;* 200,8;443;6353,1;0;;6;n.p.
Kirkland;0;14;* 69,5;823;4084,2;0;;33;* 163,8
Lachine;< 5;76;170,8;3135;7046,7;0;;170;382,1
LaSalle;6;134;174,4;6081;7912,5;0;;242;314,9
L'Île-Bizard–Sainte-Geneviève;-1;14;* 76;1139;6185,8;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;20;229;168,4;9543;7015,7;< 5;n.p.;450;330,8
Montréal Est;< 5;< 5;n.p.;300;7792,2;0;;9;* 233,8
Montréal-Nord;12;250;296,8;9849;11692,4;0;;336;398,9
Montréal-Ouest;< 5;10;* 198;214;4237,6;0;;< 5;n.p.
Mont-Royal;< 5;24;* 118,4;1188;5859,1;0;;93;458,7
Outremont;< 5;14;* 58,4;1323;5523,1;0;;29;* 121,1
Pierrefonds–Roxboro;< 5;95;137,1;4575;6602;0;;84;121,2
Plateau Mont-Royal;< 5;77;74;5152;4953,8;0;;172;165,4
Pointe-Claire;0;25;* 79,7;1151;3667,9;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;25;278;260,4;9821;9200,6;< 5;n.p.;317;297
Rosemont–La Petite Patrie;15;207;148,3;7680;5501,8;0;;324;232,1
Sainte-Anne-de-Bellevue;< 5;13;* 262,2;177;3570;0;;12;* 242
Saint-Laurent;17;217;219,6;8984;9090,5;< 5;n.p.;157;158,9
Saint-Léonard;18;243;310,3;8481;10830,7;< 5;n.p.;146;186,5
Senneville;0;< 5;n.p.;29;* 3148,8;0;;0;
Sud-Ouest;11;121;154,8;4418;5653,2;0;;206;263,6
Verdun;< 5;48;69,3;3377;4878;0;;198;286
Ville-Marie;9;108;121,1;5411;6068,2;0;;125;140,2
Villeray–Saint-Michel–Parc-Extension;12;266;184,9;12093;8406,5;0;;200;139
Westmount;< 5;17;* 83,7;803;3953,3;0;;58;285,5
Territoire à confirmer;8;67;;2133;;0;;25;
Total à Montréal;212;3346;162;143714;6957,3;14;*0,7;4793;232
