,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4065,2,4043,22,54,0,3997,14,196934.5,2064.14,7.11,27.42,1
02,02 - Saguenay-Lac-Saint-Jean,11235,11,11014,221,271,0,10912,52,277505,4048.58,18.75,97.66,9
03,03 - Capitale-Nationale,33802,26,33448,354,1121,0,32517,164,757803,4460.53,21.57,147.93,32
04,04 - Mauricie et Centre-du-Québec,16771,28,16534,237,565,0,15941,265,523331.5,3204.66,50.54,107.96,19
05,05 - Estrie,16222,50,15713,509,357,0,15582,283,494966.5,3277.39,56.97,72.13,31
06,06 - Montréal,143714,212,140779,2935,4794,1,136562,2358,2072060.5,6935.80,113.45,231.36,236
07,07 - Outaouais,13564,8,13118,446,220,0,13180,164,402744,3367.90,40.55,54.63,32
08,08 - Abitibi-Témiscamingue,1225,2,1192,33,9,0,1210,6,147637,829.74,4.06,6.10,0
09,09 - Côte-Nord,609,7,589,20,4,0,596,9,89700.5,678.93,10.07,4.46,0
10,10 - Nord-du-Québec,136,1,134,2,0,0,134,2,13521.5,1005.81,14.83,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2141,1,2121,20,47,0,2078,16,89823,2383.58,17.85,52.33,4
12,12 - Chaudière-Appalaches,20379,59,20105,274,370,0,19654,355,431109.5,4727.11,82.19,85.83,39
13,13 - Laval,35534,81,33620,1914,931,0,33958,645,444658.5,7991.30,144.43,209.37,73
14,14 - Lanaudière,26299,50,25589,710,518,0,25341,440,522367,5034.58,83.87,99.16,57
15,15 - Laurentides,23722,66,23118,604,514,0,22561,647,630238,3763.97,102.13,81.56,77
16,16 - Montérégie,56052,94,54119,1933,1569,1,53442,1041,1438226,3897.30,72.11,109.09,126
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,763,3,758,5,0,0,746,17,.,.,.,.,2
999,Ensemble du Québec,406429,701,396187,10242,11349,2,388602,6478,8565469.5,4744.97,75.40,132.50,739

