Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2715,994,,,5,17,1699,1016,1639,186,1584,220,1501
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3245,997,,,8,98,2142,1103,2020,162,1916,204,1875
Région,RSS03,03 - Capitale-Nationale,15108,6274,5,11,157,512,8149,6959,9881,817,9514,1048,10064
Région,RSS04,04 - Mauricie et Centre-du-Québec,6458,1651,1,2,65,582,4157,2301,3858,262,3630,369,2904
Région,RSS05,05 - Estrie,7635,2035,,11,101,558,4930,2705,3838,338,3576,369,3685
Région,RSS06,06 - Montréal,69922,13822,126,284,1654,4836,49200,20722,33273,4309,29001,5522,35881
Région,RSS07,07 - Outaouais,7714,3839,17,33,87,649,3089,4625,5702,166,4391,1123,5982
Région,RSS08,08 - Abitibi-Témiscamingue,870,100,193,,9,15,553,317,436,12,223,235,596
Région,RSS09,09 - Côte-Nord,297,162,,,3,9,123,174,247,14,229,35,221
Région,RSS10,10 - Nord-du-Québec,64,22,2,,1,12,27,37,62,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,541,185,,,9,39,308,233,364,17,328,36,304
Région,RSS12,12 - Chaudière-Appalaches,11711,3452,1,10,25,755,7468,4243,8170,482,7350,766,5463
Région,RSS13,13 - Laval,17561,3278,13,23,360,1837,12050,5511,8521,544,6158,872,8579
Région,RSS14,14 - Lanaudière,10529,1819,38,11,165,1191,7305,3224,5659,479,4711,687,5697
Région,RSS15,15 - Laurentides,11964,2558,33,59,189,1612,7513,4451,7287,851,6601,972,7664
Région,RSS16,16 - Montérégie,25156,4291,25,155,773,1893,18019,7137,13142,1444,10100,1973,12340
Région,RSS00,Inconnu,460,50,1,,11,47,351,109,406,15,236,85,312
Région,RSS98,Hors-Québec,770,123,11,10,117,117,392,378,389,140,310,212,505
Région,RSS99,Ensemble du Québec,192720,45652,466,609,3739,14779,127475,65245,104894,10241,89915,14732,103631

