group,1d,2d,3d,pop 2021
0-4,248,55,8,428991
5-11,430616,318390,308,650347
12-17,530387,503771,79941,529446
18-29,1110898,1050738,416752,1216440
30-39,1018864,978173,486225,1118629
40-49,1026142,1000640,624054,1115327
50-59,1079466,1053494,777444,1155183
60-69,1115123,1103854,980428,1168854
70-79,753687,752762,713446,783129
80 plus,400559,400922,384872,425520
Total 5+,7465742,7162744,4463470,8162875
Total,7465990,7162799,4463478,8591866
