,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4094,4,4072,22,54,0,4011,29,196934.5,2078.86,14.74,27.42,1
02,02 - Saguenay-Lac-Saint-Jean,11268,4,11049,219,271,0,10967,30,277505,4060.47,10.82,97.66,9
03,03 - Capitale-Nationale,34097,26,33743,354,1122,0,32741,234,757803,4499.45,30.78,148.06,22
04,04 - Mauricie et Centre-du-Québec,17007,17,16770,237,568,0,16222,217,523331.5,3249.76,41.39,108.54,25
05,05 - Estrie,16563,17,16054,509,360,0,15945,258,494966.5,3346.29,51.94,72.73,45
06,06 - Montréal,145441,119,142504,2937,4806,3,138897,1738,2072060.5,7019.15,83.62,231.94,219
07,07 - Outaouais,13821,11,13375,446,221,0,13412,188,402744,3431.71,46.48,54.87,28
08,08 - Abitibi-Témiscamingue,1233,0,1200,33,9,0,1218,6,147637,835.16,4.06,6.10,2
09,09 - Côte-Nord,612,3,592,20,4,0,602,6,89700.5,682.27,6.71,4.46,1
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2153,1,2133,20,47,0,2090,16,89823,2396.94,17.85,52.33,2
12,12 - Chaudière-Appalaches,20871,33,20597,274,373,0,20089,409,431109.5,4841.23,94.70,86.52,43
13,13 - Laval,36089,36,34172,1917,931,0,34646,512,444658.5,8116.12,114.65,209.37,50
14,14 - Lanaudière,26664,31,25954,710,524,2,25796,344,522367,5104.46,65.57,100.31,65
15,15 - Laurentides,24213,33,23610,603,517,0,23226,470,630238,3841.88,74.19,82.03,45
16,16 - Montérégie,56752,65,54823,1929,1576,1,54395,781,1438226,3945.97,54.10,109.58,98
17,17 - Nunavik,52,0,50,2,0,0,51,1,14336.5,362.71,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,136,1,18507,767.28,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1152,2,1145,7,1,0,1125,26,.,.,.,.,4
999,Ensemble du Québec,412364,402,402122,10242,11389,6,395709,5266,8565469.5,4814.26,61.29,132.96,659

