Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2734,994,,,5,30,1705,1029,1657,186,1602,220,1516
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3287,997,,,9,146,2135,1152,2062,163,1959,204,1923
Région,RSS03,03 - Capitale-Nationale,15385,6274,5,11,171,717,8207,7178,10222,831,9854,1050,10285
Région,RSS04,04 - Mauricie et Centre-du-Québec,6701,1652,1,2,67,723,4256,2445,4151,264,3923,371,3055
Région,RSS05,05 - Estrie,7939,2035,,11,121,690,5082,2857,4047,366,3769,356,3866
Région,RSS06,06 - Montréal,71453,13822,126,284,1972,6481,48768,22685,34732,4634,30436,5574,37568
Région,RSS07,07 - Outaouais,7903,3839,17,33,98,805,3111,4792,5866,173,4554,1129,6152
Région,RSS08,08 - Abitibi-Témiscamingue,879,100,193,,10,20,556,323,449,13,235,236,607
Région,RSS09,09 - Côte-Nord,304,162,,,3,21,118,186,259,14,241,35,232
Région,RSS10,10 - Nord-du-Québec,64,22,2,,2,13,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,556,185,,,5,60,306,250,385,14,348,36,321
Région,RSS12,12 - Chaudière-Appalaches,12186,3452,1,10,38,1157,7528,4658,8636,495,7816,766,5879
Région,RSS13,13 - Laval,18061,3278,13,23,384,2511,11852,6209,9213,569,6848,875,9290
Région,RSS14,14 - Lanaudière,10871,1820,38,11,172,1591,7239,3632,6046,487,5095,692,6085
Région,RSS15,15 - Laurentides,12433,2559,33,59,212,2145,7425,5008,7758,874,7070,977,8153
Région,RSS16,16 - Montérégie,25805,4290,25,155,870,2528,17937,7868,13787,1550,10731,1989,13060
Région,RSS00,Inconnu,465,50,1,,18,56,340,125,420,21,249,88,330
Région,RSS98,Hors-Québec,818,124,11,10,138,130,405,413,417,159,335,229,546
Région,RSS99,Ensemble du Québec,197844,45655,466,609,4295,19824,126995,70849,110170,10817,95123,14832,108928
