,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1402,7,1387,15,25,1,1275,102,196795,712.42,51.83,12.70
02,02 - Saguenay–Lac-Saint-Jean,8360,33,8177,183,236,1,7641,483,277378,3013.94,174.13,85.08
03,03 - Capitale-Nationale,19595,106,19293,302,769,10,17005,1821,760147,2577.79,239.56,101.16
04,04 - Mauricie et Centre-du-Québec,11007,65,10789,218,386,1,9464,1157,524322,2099.28,220.67,73.62
05,05 - Estrie,9285,98,8891,394,212,7,8005,1068,496770,1869.07,214.99,42.68
06,06 - Montréal,81886,750,79087,2799,3983,6,68838,9065,2078464,3939.74,436.14,191.63
07,07 - Outaouais,5312,18,4960,352,133,0,4749,430,404456,1313.37,106.32,32.88
08,08 - Abitibi-Témiscamingue,565,19,531,34,5,0,376,184,147658,382.64,124.61,3.39
09,09 - Côte-Nord,317,0,304,13,3,0,304,10,89368,354.71,11.19,3.36
10,10 - Nord-du-Québec,82,0,80,2,0,0,75,7,13485,608.08,51.91,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1672,3,1653,19,43,0,1571,58,89648,1865.07,64.70,47.97
12,12 - Chaudière-Appalaches,9690,94,9434,256,206,2,8390,1094,431910,2243.52,253.29,47.70
13,13 - Laval,19271,224,17876,1395,786,3,16306,2179,446572,4315.32,487.94,176.01
14,14 - Lanaudière,16797,128,16090,707,417,6,14874,1506,524642,3201.61,287.05,79.48
15,15 - Laurentides,12538,88,11938,600,382,3,11083,1073,633508,1979.14,169.37,60.30
16,16 - Montérégie,32650,224,31211,1439,1149,11,27759,3742,1443701,2261.55,259.19,79.59
17,17 - Nunavik,31,2,29,2,0,0,29,2,14413,215.08,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,38,7,37,1,2,0,17,19,18629,203.98,101.99,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,188,3,185,3,0,0,173,15,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,230690,1869,221956,8734,8737,51,197938,24015,8591866,2684.98,279.51,101.69
