Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2708,994,,,6,16,1692,1016,1620,186,1573,220,1496
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3190,997,,,9,60,2124,1066,1960,162,1868,204,1836
Région,RSS03,03 - Capitale-Nationale,14928,6274,5,11,162,364,8112,6816,9674,816,9329,1047,9913
Région,RSS04,04 - Mauricie et Centre-du-Québec,6188,1651,1,2,79,440,4015,2173,3512,259,3349,368,2752
Région,RSS05,05 - Estrie,7377,2025,,11,105,97,5139,2238,3294,338,3105,388,3269
Région,RSS06,06 - Montréal,68050,13819,126,284,1672,2426,49723,18327,31300,4286,27199,5523,34033
Région,RSS07,07 - Outaouais,7560,3839,17,33,93,487,3091,4469,5420,164,4231,1121,5820
Région,RSS08,08 - Abitibi-Témiscamingue,861,100,193,,8,9,551,310,418,12,217,234,589
Région,RSS09,09 - Côte-Nord,292,162,,,3,6,121,171,237,14,225,35,218
Région,RSS10,10 - Nord-du-Québec,62,22,2,,1,12,25,37,61,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,525,185,,,10,27,303,222,350,18,315,36,293
Région,RSS12,12 - Chaudière-Appalaches,11337,3452,1,10,26,461,7387,3950,7850,482,7042,766,5167
Région,RSS13,13 - Laval,16961,3278,13,23,367,1181,12099,4862,7797,538,5471,872,7886
Région,RSS14,14 - Lanaudière,10154,1819,38,11,176,773,7337,2817,5137,472,4251,687,5231
Région,RSS15,15 - Laurentides,11400,2556,33,59,204,916,7632,3768,6493,849,5883,972,6951
Région,RSS16,16 - Montérégie,24382,4290,25,155,742,768,18402,5980,12000,1392,9366,1970,11563
Région,RSS00,Inconnu,458,50,1,,8,40,359,99,357,13,227,85,299
Région,RSS98,Hors-Québec,714,123,11,10,118,93,359,355,354,139,285,211,484
Région,RSS99,Ensemble du Québec,187147,45636,466,609,3789,8176,128471,58676,97834,10143,83993,14743,97858

