No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,889.14,508,2427.02,61,291.43,995,4747.70,502,2392.30,322,1534.50,534,2541.89
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.78,278,792.50,1003,2849.84,27,76.72,2159,6115.54,1102,3111.94,592,1671.75,988,2781.96
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.94,134,691.49,278,1427.03,38,195.06,1041,5338.19,493,2525.49,276,1413.86,527,2697.10
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,392.84,181,2076.64,6,68.84,398,4559.78,249,2848.64,159,1819.01,235,2684.95
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,574,992.02,222,382.71,117,201.70,3203,5499.09,1750,2992.27,1359,2323.71,1886,3212.45
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,479.91,99,544.58,37,203.53,1085,5964.65,413,2268.98,478,2626.09,525,2882.56
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1118.63,25,120.29,37,178.03,1006,4842.13,460,2214.84,414,1993.36,586,2822.67
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,253.81,35,196.59,313,1758.03,1012,5677.58,453,2538.53,407,2280.75,426,2384.42
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.76,1585,798.17,2357,1183.85,640,321.45,10939,5482.45,5424,2712.57,4018,2009.42,5726,2857.81
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1600.61,300,958.22,40,127.76,1532,4885.52,720,2292.41,666,2120.48,648,2060.28
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.90,713,2839.39,285,1135.41,156,621.49,1057,4217.79,406,1622.70,365,1458.83,511,2045.76
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.22,2305,4370.29,463,874.08,44,83.07,2360,4445.41,1125,2114.38,742,1394.55,1223,2293.96
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.44,1997,2925.69,354,516.85,136,198.56,3327,4849.71,1412,2054.95,972,1414.60,1699,2468.74
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.79,2620,3300.29,344,434.00,139,175.37,3739,4691.75,1724,2151.69,1239,1546.37,1938,2406.98
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.50,672,2958.85,108,473.37,16,70.13,974,4261.00,384,1676.71,306,1336.13,428,1865.70
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.55,8892,3181.99,1871,668.34,545,194.68,13250,4721.01,5820,2068.44,4326,1537.47,6480,2297.70
