Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2708,994,,,5,14,1695,1013,1616,185,1569,220,1492
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3177,997,,,8,49,2123,1054,1944,161,1853,203,1823
Région,RSS03,03 - Capitale-Nationale,14873,6274,5,11,136,341,8106,6767,9636,790,9291,1038,9858
Région,RSS04,04 - Mauricie et Centre-du-Québec,6135,1651,1,2,72,323,4086,2049,3361,250,3200,364,2620
Région,RSS05,05 - Estrie,7319,2020,,11,55,141,5092,2227,3310,273,3145,326,3244
Région,RSS06,06 - Montréal,67515,13810,126,284,987,2962,49346,18169,31402,3594,27328,5404,33485
Région,RSS07,07 - Outaouais,7508,3839,17,33,84,432,3103,4405,5360,155,4172,1114,5753
Région,RSS08,08 - Abitibi-Témiscamingue,861,100,193,,6,11,551,310,420,10,219,234,589
Région,RSS09,09 - Côte-Nord,290,162,,,3,4,121,169,235,14,223,35,216
Région,RSS10,10 - Nord-du-Québec,62,22,2,,1,12,25,37,61,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,521,185,,,8,15,313,208,336,17,301,35,278
Région,RSS12,12 - Chaudière-Appalaches,11253,3452,1,10,21,317,7452,3801,7689,477,6881,764,5016
Région,RSS13,13 - Laval,16845,3278,13,23,255,1144,12132,4713,7728,424,5404,855,7707
Région,RSS14,14 - Lanaudière,10070,1819,38,11,117,755,7330,2740,5137,413,4254,681,5179
Région,RSS15,15 - Laurentides,11215,2555,33,59,140,848,7580,3635,6329,783,5727,960,6728
Région,RSS16,16 - Montérégie,24141,4289,25,154,418,1036,18219,5922,12150,1065,9519,1933,11393
Région,RSS00,Inconnu,458,50,1,,5,40,362,96,354,10,224,85,292
Région,RSS98,Hors-Québec,709,123,11,9,97,105,364,345,360,116,292,199,469
Région,RSS99,Ensemble du Québec,185660,45620,466,607,2418,8549,128000,57660,97428,8740,83659,14454,96200

