group,1d,2d,3d,pop 2021
0-4,259,57,8,428991
5-11,419773,248806,136,650347
12-17,527575,494552,5287,529446
18-29,1105902,1040065,357791,1216440
30-39,1014707,968300,429990,1118629
40-49,1023458,993795,563337,1115327
50-59,1077678,1047691,715728,1155183
60-69,1113697,1099465,927650,1168854
70-79,752772,750413,686900,783129
80 plus,400061,399295,367129,425520
Total 5+,7435623,7042382,4053948,8162875
Total,7435882,7042439,4053956,8591866
