Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2708,994,,,6,13,1695,1013,1615,186,1568,220,1492
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3183,997,,,8,49,2129,1054,1950,161,1859,203,1823
Région,RSS03,03 - Capitale-Nationale,14900,6274,5,11,152,325,8133,6767,9620,806,9275,1044,9858
Région,RSS04,04 - Mauricie et Centre-du-Québec,6164,1651,1,2,78,369,4063,2101,3424,257,3262,366,2677
Région,RSS05,05 - Estrie,7352,2025,,11,77,120,5119,2233,3313,299,3139,347,3261
Région,RSS06,06 - Montréal,67763,13810,126,284,1310,2713,49520,18243,31296,3909,27221,5485,33729
Région,RSS07,07 - Outaouais,7530,3839,17,33,93,443,3105,4425,5371,163,4183,1120,5773
Région,RSS08,08 - Abitibi-Témiscamingue,861,100,193,,8,9,551,310,418,12,217,234,589
Région,RSS09,09 - Côte-Nord,291,162,,,3,4,122,169,235,14,223,35,216
Région,RSS10,10 - Nord-du-Québec,62,22,2,,1,12,25,37,61,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,523,185,,,9,14,315,208,335,18,300,35,278
Région,RSS12,12 - Chaudière-Appalaches,11294,3452,1,10,26,313,7492,3802,7685,482,6877,766,5017
Région,RSS13,13 - Laval,16908,3278,13,23,328,1117,12149,4759,7713,499,5387,864,7765
Région,RSS14,14 - Lanaudière,10121,1819,38,11,166,728,7359,2762,5119,462,4236,686,5209
Région,RSS15,15 - Laurentides,11314,2556,33,59,183,866,7617,3697,6341,826,5739,964,6781
Région,RSS16,16 - Montérégie,24265,4290,25,154,574,912,18310,5955,12067,1221,9436,1952,11463
Région,RSS00,Inconnu,458,50,1,,8,37,362,96,351,13,221,85,293
Région,RSS98,Hors-Québec,711,123,11,10,107,99,361,350,356,127,288,205,475
Région,RSS99,Ensemble du Québec,186408,45627,466,608,3137,8143,128427,57981,97270,9458,83488,14615,96757

