,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4050,-1,4027,23,53,0,3988,9,196934.5,2056.52,4.57,26.91,1
02,02 - Saguenay-Lac-Saint-Jean,11156,5,10935,221,271,0,10861,24,277505,4020.11,8.65,97.66,1
03,03 - Capitale-Nationale,33604,25,33249,355,1119,0,32348,137,757803,4434.40,18.02,147.66,14
04,04 - Mauricie et Centre-du-Québec,16476,23,16236,240,563,0,15710,203,523331.5,3148.29,38.72,107.58,13
05,05 - Estrie,15889,35,15380,509,356,0,15300,233,494966.5,3210.12,46.90,71.92,17
06,06 - Montréal,141448,292,138512,2936,4782,1,134428,2238,2072060.5,6826.44,107.68,230.78,176
07,07 - Outaouais,13368,20,12922,446,216,0,12911,241,402744,3319.23,59.59,53.63,23
08,08 - Abitibi-Témiscamingue,1218,0,1185,33,9,0,1200,9,147637,825.00,6.10,6.10,0
09,09 - Côte-Nord,599,1,580,19,4,0,591,4,89700.5,667.78,4.48,4.46,0
10,10 - Nord-du-Québec,134,0,132,2,0,0,133,1,13521.5,991.01,7.42,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2122,1,2102,20,47,0,2043,32,89823,2362.42,35.70,52.33,1
12,12 - Chaudière-Appalaches,19955,43,19679,276,370,0,19312,273,431109.5,4628.75,63.21,85.83,33
13,13 - Laval,34901,38,33005,1896,926,0,33135,840,444658.5,7848.94,188.10,208.25,76
14,14 - Lanaudière,25901,62,25190,711,517,0,24767,617,522367,4958.39,117.60,98.97,40
15,15 - Laurentides,23028,102,22424,604,512,0,21943,573,630238,3653.86,90.45,81.24,74
16,16 - Montérégie,55055,135,53105,1950,1564,0,52476,1015,1438226,3827.98,70.31,108.75,72
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,4,0,136,2,18507,767.28,10.74,21.61,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,743,4,738,5,0,0,714,29,.,.,.,.,3
999,Ensemble du Québec,399843,785,389594,10249,11313,1,382050,6480,8565469.5,4668.08,75.42,132.08,545

