Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrOmicronTotalCrib,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,13550,994,0,0,75,3,97,1,0,176,12298,11827,1252,471,207,1674,342,1723,0,18,1,0,19,0,0,63,63,82
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,16220,997,0,0,107,10,177,0,0,294,14877,14112,1343,765,212,1984,316,2108,0,27,5,0,32,0,0,20,20,52
Région,RSS03,03 - Capitale-Nationale,Total,55525,6281,5,11,607,0,711,52,0,1370,46557,43657,8968,2900,1155,9961,1578,11868,14,313,770,0,1097,0,0,204,204,1301
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,38296,1652,1,2,333,96,822,1,0,1252,34909,34350,3387,559,419,4284,663,3946,7,417,2,0,426,0,0,54,54,480
Région,RSS05,05 - Estrie,Total,33485,2033,0,11,652,14,810,1,0,1477,29776,28787,3709,989,623,3981,1081,4698,4,32,3,0,39,0,0,149,149,188
Région,RSS06,06 - Montréal,Total,205056,13819,126,285,4378,53,6566,516,3,11516,175136,160461,29920,14675,6890,30215,9667,44595,2124,865,845,40,3874,31,16,269,300,4174
Région,RSS07,07 - Outaouais,Total,29340,3838,17,33,220,2,1053,0,0,1275,24099,23120,5241,979,239,4820,953,6220,7,35,0,0,42,2,0,34,36,78
Région,RSS08,08 - Abitibi-Témiscamingue,Total,6723,103,187,0,38,1,40,2,0,81,6335,6037,388,298,29,256,267,686,0,5,1,0,6,0,0,11,11,17
Région,RSS09,09 - Côte-Nord,Total,5020,163,0,0,13,0,54,0,0,67,4781,4740,239,41,22,279,38,280,0,6,1,0,7,0,0,2,2,9
Région,RSS10,10 - Nord-du-Québec,Total,781,22,1,0,5,0,11,1,0,17,739,719,42,20,13,50,7,62,1,0,1,0,2,0,0,0,0,2
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,3678,185,0,0,34,0,56,1,0,91,3396,3347,282,49,38,346,47,331,0,3,3,0,6,0,0,0,0,6
Région,RSS12,12 - Chaudière-Appalaches,Total,44619,3450,1,10,607,13,1542,6,0,2168,38799,37550,5820,1249,880,8249,1384,7069,1,88,59,0,148,0,0,43,43,191
Région,RSS13,13 - Laval,Total,48482,3280,13,23,632,3,2926,34,0,3595,41106,38042,7376,3064,809,7239,1436,10440,124,40,223,7,394,4,4,67,71,465
Région,RSS14,14 - Lanaudière,Total,47153,1819,38,11,528,13,1868,104,0,2513,42148,39824,5005,2324,740,5257,1292,7329,110,111,266,5,492,5,0,127,132,624
Région,RSS15,15 - Laurentides,Total,57789,2559,33,59,536,7,2626,199,0,3368,50505,47442,7284,3063,1114,7485,1702,10347,458,224,358,1,1041,8,0,216,224,1265
Région,RSS16,16 - Montérégie,Total,98664,4291,26,155,1977,46,2552,80,0,4655,88320,83985,10344,4335,2485,10682,3312,14679,374,517,51,2,944,12,1,261,273,1217
Région,RSS00,Inconnu,Total,4314,52,1,0,245,1,63,2,0,311,3893,3699,421,194,31,262,337,615,5,14,8,0,27,1,0,29,30,57
Région,RSS98,Hors-Québec,Total,5046,128,11,10,207,2,116,0,0,325,4518,4397,528,121,209,330,330,649,17,17,2,0,36,2,1,16,18,54
Région,RSS99,Ensemble du Québec,Total,713741,45666,460,610,11194,264,22090,1000,3,34551,622192,586096,91549,36096,16115,97354,24752,127645,3246,2732,2599,55,8632,65,22,1565,1630,10262

