Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2712,994,,,6,16,1696,1016,1629,186,1582,220,1499
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3229,997,,,9,77,2146,1083,1993,162,1901,204,1853
Région,RSS03,03 - Capitale-Nationale,15049,6274,5,11,162,465,8132,6917,9798,816,9453,1047,10018
Région,RSS04,04 - Mauricie et Centre-du-Québec,6393,1651,1,2,79,538,4122,2271,3700,259,3537,368,2855
Région,RSS05,05 - Estrie,7560,2035,,11,105,344,5065,2495,3506,338,3321,369,3475
Région,RSS06,06 - Montréal,69446,13820,126,284,1677,3927,49612,19834,32591,4284,28487,5517,35341
Région,RSS07,07 - Outaouais,7686,3839,17,33,93,548,3156,4530,5479,165,4290,1121,5879
Région,RSS08,08 - Abitibi-Témiscamingue,866,100,193,,8,13,552,314,423,12,222,234,594
Région,RSS09,09 - Côte-Nord,292,162,,,3,8,119,173,239,14,227,35,220
Région,RSS10,10 - Nord-du-Québec,63,22,2,,1,12,26,37,61,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,538,185,,,9,38,306,232,362,17,327,36,303
Région,RSS12,12 - Chaudière-Appalaches,11596,3452,1,10,26,623,7484,4112,8021,482,7213,766,5331
Région,RSS13,13 - Laval,17381,3278,13,23,374,1659,12034,5347,8293,544,5968,871,8388
Région,RSS14,14 - Lanaudière,10414,1819,38,11,183,1062,7301,3113,5461,479,4575,687,5561
Région,RSS15,15 - Laurentides,11852,2557,33,59,204,1365,7634,4218,6910,849,6299,972,7365
Région,RSS16,16 - Montérégie,24953,4290,25,155,743,1540,18200,6753,12560,1393,9926,1971,12107
Région,RSS00,Inconnu,458,50,1,,8,44,355,103,360,13,230,85,302
Région,RSS98,Hors-Québec,760,123,11,10,118,107,391,369,366,139,297,211,494
Région,RSS99,Ensemble du Québec,191248,45648,466,609,3808,12386,128331,62917,101752,10155,87912,14718,101643

