,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1468,0,1452,16,30,0,1424,14,196934.5,745.43,7.11,15.23
02,02 - Saguenay–Lac-Saint-Jean,8758,2,8570,188,262,1,8399,97,277505,3155.98,34.97,94.41
03,03 - Capitale-Nationale,21418,48,21095,323,924,1,19650,844,757803,2826.33,111.03,121.93
04,04 - Mauricie et Centre-du-Québec,12215,23,11988,227,447,0,11159,609,523331.5,2334.08,116.15,85.41
05,05 - Estrie,10624,33,10212,412,276,1,9876,472,494966.5,2146.41,95.01,55.76
06,06 - Montréal,94520,496,91687,2833,4316,8,84092,6112,2072060.5,4561.64,294.06,208.30
07,07 - Outaouais,5837,15,5455,382,153,0,5540,144,402744,1449.31,35.60,37.99
08,08 - Abitibi-Témiscamingue,708,3,675,33,5,0,657,46,147637,479.55,31.15,3.39
09,09 - Côte-Nord,340,0,326,14,3,0,337,0,89700.5,379.04,0.00,3.34
10,10 - Nord-du-Québec,88,0,86,2,0,0,86,2,13521.5,650.82,14.83,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1685,0,1666,19,45,0,1639,1,89823,1875.91,1.12,50.10
12,12 - Chaudière-Appalaches,11007,53,10745,262,260,1,10304,443,431109.5,2553.18,102.57,60.31
13,13 - Laval,22160,136,20708,1452,829,3,20211,1120,444658.5,4983.60,250.80,186.44
14,14 - Lanaudière,18683,58,17973,710,466,1,17314,903,522367,3576.60,172.12,89.21
15,15 - Laurentides,14610,84,14013,597,438,5,13340,832,630238,2318.17,131.33,69.50
16,16 - Montérégie,38077,271,36532,1545,1338,10,34279,2460,1438226,2647.50,170.40,93.03
17,17 - Nunavik,37,0,35,2,0,0,36,1,14336.5,258.08,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,113,0,113,0,2,0,80,31,18507,610.58,166.41,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,231,1,227,4,0,0,221,10,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,262583,1223,253562,9021,9794,31,238648,14141,8565469.5,3065.60,164.59,114.34
