group,1d,2d,pop 2021
0-11,428,56,1079338
12-17,413707,68775,529446
18-29,844878,348026,1216440
30-39,828009,420677,1118629
40-49,898095,544263,1115327
50-59,991739,713390,1155183
60-69,1067653,899205,1168854
70-79,733396,669376,783129
80 plus,391915,363145,425520
Total 12+,6169392,4026857,7512528
Total,6169820,4026913,8591866
