Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,8499,994,0,0,26,98,125,7381,6912,1118,469,206,1675,221,1587,1,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,10147,997,0,0,68,177,245,8905,8146,1242,759,212,1984,217,2001,0,1,3,4,0,0,0,4
Région,RSS03,03 - Capitale-Nationale,Total,36110,6280,5,11,510,714,1274,28590,25719,7520,2871,1151,9966,1078,10391,50,284,32,316,0,0,0,316
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,25611,1652,1,2,258,822,1081,22876,22331,2735,545,419,4286,375,3280,1,12,83,95,0,0,0,95
Région,RSS05,05 - Estrie,Total,23652,2033,0,11,481,811,1293,20316,19346,3336,970,622,3981,528,4306,1,3,22,25,0,0,0,25
Région,RSS06,06 - Montréal,Total,157400,13821,126,285,4135,6571,11214,132462,120332,24938,12130,6890,30222,7097,37068,508,1962,608,2570,26,0,26,2596
Région,RSS07,07 - Outaouais,Total,22322,3839,17,33,178,1053,1231,17202,16914,5120,288,238,4822,787,5408,0,7,24,31,2,0,2,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,3563,103,187,0,29,40,70,3204,3100,359,104,29,256,244,463,1,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,2103,163,0,0,11,54,65,1875,1834,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,306,22,1,0,5,11,17,267,248,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2231,185,0,0,33,56,90,1957,1908,274,49,38,346,37,323,1,1,0,1,0,0,0,1
Région,RSS12,12 - Chaudière-Appalaches,Total,31945,3452,1,10,507,1547,2060,26428,25746,5517,682,874,8257,1121,6199,6,42,26,68,0,0,0,68
Région,RSS13,13 - Laval,Total,37706,3280,13,23,606,2926,3564,30858,29496,6848,1362,809,7239,965,8210,32,112,35,147,1,0,1,148
Région,RSS14,14 - Lanaudière,Total,34290,1819,38,11,368,1874,2347,30180,28366,4110,1814,734,5263,772,5924,105,109,38,147,1,0,1,148
Région,RSS15,15 - Laurentides,Total,43459,2558,33,59,439,2626,3264,37744,34979,5715,2765,1114,7483,1089,8480,199,453,139,592,1,0,1,593
Région,RSS16,16 - Montérégie,Total,74381,4291,26,155,1835,2552,4467,65522,62208,8859,3314,2485,10682,1893,12173,80,358,278,636,11,0,11,647
Région,RSS00,Inconnu,Total,2372,51,1,0,138,63,203,2119,1974,253,145,31,261,180,398,2,5,14,19,1,0,1,20
Région,RSS98,Hors-Québec,Total,2155,125,11,10,201,112,313,1696,1597,459,99,208,321,270,558,0,17,9,26,4,0,4,30
Région,RSS99,Ensemble du Québec,Total,518252,45665,460,610,9828,22107,32923,439582,411156,78670,28426,16095,97373,16912,107096,988,3369,1321,4690,47,0,47,4737

