No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,73,0,20780,      351.30,        0.00
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,185,7,34800,      531.61,       20.11
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,41,0,19117,      214.47,        0.00
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,10,0,8529,      117.25,        0.00
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,110,38,57630,      190.87,       65.94
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,12,n.d.,17978,       66.75,n.d.
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,14,n.d.,20726,       67.55,n.d.
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,21,n.d.,17514,      119.90,n.d.
01,01 - Bas-Saint-Laurent,,Total,467,52,197074,      236.97,       26.39
02,02 - Saguenay–Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,37,8,31078,      119.06,       25.74
02,02 - Saguenay–Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,35,6,25064,      139.64,       23.94
02,02 - Saguenay–Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,372,167,52298,      711.31,      319.32
02,02 - Saguenay–Lac-Saint-Jean,0214,0214 - RLS de Jonquière,236,100,67417,      350.06,      148.33
02,02 - Saguenay–Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,300,44,79201,      378.78,       55.55
02,02 - Saguenay–Lac-Saint-Jean,0216,0216 - RLS de La Baie,64,5,22574,      283.51,       22.15
02,02 - Saguenay–Lac-Saint-Jean,,Total,1049,332,277632,      377.84,      119.58
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,472,109,54895,      859.82,      198.56
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,3931,433,321016,     1224.55,      134.88
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,3810,534,351429,     1084.15,      151.95
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,186,77,28119,      661.47,      273.84
03,03 - Capitale-Nationale,,Total,8512,1183,755459,     1126.73,      156.59
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,16,n.d.,15020,      106.52,n.d.
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,165,25,25562,      645.49,       97.80
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,300,23,22961,     1306.56,      100.17
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,525,76,64641,      812.18,      117.57
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,1610,227,143422,     1122.56,      158.27
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,189,56,44619,      423.59,      125.51
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,1008,169,107872,      934.44,      156.67
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,294,72,98244,      299.25,       73.29
04,04 - Mauricie et Centre-du-Québec,,Total,4148,657,522341,      794.12,      125.78
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,262,32,56125,      466.82,       57.02
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,673,102,105861,      635.74,       96.35
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,157,10,52514,      298.97,       19.04
05,05 - Estrie,0514,0514 - RLS de Coaticook,22,0,18741,      117.39,        0.00
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,885,45,170075,      520.36,       26.46
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,128,11,31490,      406.48,       34.93
05,05 - Estrie,0517,0517 - RLS d'Asbestos,117,11,14257,      820.65,       77.16
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,88,9,22749,      386.83,       39.56
05,05 - Estrie,0519,0519 - RLS du Granit,263,79,21351,     1231.79,      370.01
05,05 - Estrie,,Total,2599,299,493163,      527.01,       60.63
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,2467,194,224596,     1098.42,       86.38
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2914,146,149522,     1948.88,       97.64
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,2051,127,131424,     1560.60,       96.63
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,5122,391,245703,     2084.63,      159.14
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2841,129,166225,     1709.13,       77.61
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,2686,131,161317,     1665.04,       81.21
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,2931,219,161894,     1810.44,      135.27
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,5552,228,172517,     3218.23,      132.16
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1636,114,115485,     1416.63,       98.71
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,3492,195,139162,     2509.31,      140.12
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,5075,219,208717,     2431.52,      104.93
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,3773,177,189095,     1995.29,       93.60
06,06 - Montréal,,Total,41649,2324,2065657,     2016.26,      112.51
07,07 - Outaouais,0711,0711 - RLS du Pontiac,27,n.d.,20152,      133.98,n.d.
07,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,27,10,20552,      131.37,       48.66
07,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,103,14,38891,      264.84,       36.00
07,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,1965,199,264517,      742.86,       75.23
07,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,203,19,56920,      356.64,       33.38
07,07 - Outaouais,,Total,2331,246,401032,      581.25,       61.34
08,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,14,0,20528,       68.20,        0.00
08,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,14,n.d.,24729,       56.61,n.d.
08,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,161,n.d.,43180,      372.86,n.d.
08,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,33,6,43551,       75.77,       13.78
08,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,24,0,15628,      153.57,        0.00
08,08 - Abitibi-Témiscamingue,,Total,247,10,147616,      167.33,        6.77
09,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,6,0,3230,      185.76,        0.00
