group,1d,2d,pop 2021
0-11,532,130,1079338
12-17,499037,455171,529446
18-29,1043852,958521,1216440
30-39,964624,902302,1118629
40-49,992327,950614,1115327
50-59,1055701,1017317,1155183
60-69,1099629,1081322,1168854
70-79,746273,741103,783129
80 plus,397015,390319,425520
Total 12+,6798458,6496669,7512528
Total,6798990,6496799,8591866
