Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;15;325;242,1;8777;6538;5;n.p.;463;344,9
Anjou;10;170;397,2;3004;7019,3;< 5;n.p.;73;170,6
Baie D'urfé;0;0;;67;1752,6;0;;< 5;n.p.
Beaconsfield;< 5;9;* 46,6;372;1925,1;0;;18;* 93,1
Côte-des-Neiges–Notre-Dame-de-Grâce;32;601;360,9;9978;5992,1;< 5;n.p.;347;208,4
Côte-Saint-Luc;16;161;496,2;2346;7230;0;;109;335,9
Dollard-des-Ormeaux;< 5;111;227;2252;4605,4;< 5;n.p.;119;243,4
Dorval;0;26;* 137;674;3551,1;0;;67;353
Hampstead;< 5;17;* 243,8;331;4746,9;0;;5;n.p.
Kirkland;< 5;37;183,6;564;2798,9;0;;31;* 153,8
Lachine;< 5;65;146,1;2534;5695,8;< 5;n.p.;169;379,9
LaSalle;7;149;193,9;4594;5977,6;< 5;n.p.;234;304,5
L'Île-Bizard–Sainte-Geneviève;0;20;* 108,6;872;4735,8;< 5;n.p.;74;401,9
Mercier–Hochelaga-Maisonneuve;23;239;175,7;7431;5463;9;n.p.;439;322,7
Montréal Est;< 5;9;* 233,8;229;5948,1;0;;8;n.p.
Montréal-Nord;16;217;257,6;8029;9531,8;< 5;n.p.;323;383,5
Montréal-Ouest;0;6;n.p.;128;2534,7;0;;< 5;n.p.
Mont-Royal;< 5;37;182,5;965;4759,3;0;;92;453,7
Outremont;6;43;179,5;1106;4617,2;0;;21;* 87,7
Pierrefonds–Roxboro;9;186;268,4;3402;4909,3;0;;79;114
Plateau Mont-Royal;8;138;132,7;3843;3695,2;0;;168;161,5
Pointe-Claire;0;45;143,4;888;2829,8;< 5;n.p.;52;165,7
Rivière-des-Prairies–Pointe-aux-Trembles;15;280;262,3;7837;7341,9;< 5;n.p.;307;287,6
Rosemont–La Petite Patrie;13;195;139,7;6084;4358,5;0;;314;224,9
Sainte-Anne-de-Bellevue;0;< 5;n.p.;118;2380;0;;12;* 242
Saint-Laurent;23;367;371,4;6533;6610,5;< 5;n.p.;146;147,7
Saint-Léonard;11;235;300,1;6662;8507,8;< 5;n.p.;127;162,2
Senneville;0;0;;22;* 2388,7;0;;0;
Sud-Ouest;< 5;88;112,6;3243;4149,7;0;;203;259,8
Verdun;< 5;133;192,1;2683;3875,5;0;;192;277,3
Ville-Marie;< 5;115;129;4016;4503,8;< 5;n.p.;115;129
Villeray–Saint-Michel–Parc-Extension;12;328;228;9272;6445,5;< 5;n.p.;181;125,8
Westmount;< 5;16;* 78,8;622;3062,2;0;;57;280,6
Territoire à confirmer;< 5;41;;1717;;0;;25;
Total à Montréal;245;4413;213,6;111195;5383;43;2,1;4576;221,5
