Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;50;569;423,9;4488;3343,1;< 5;n.p.;376;280,1
Anjou;21;168;392,6;1377;3217,6;0;;49;114,5
Baie D'urfé;< 5;7;n.p.;49;1281,7;0;;< 5;n.p.
Beaconsfield;< 5;38;196,6;181;936,7;< 5;n.p.;10;* 51,7
Côte-des-Neiges–Notre-Dame-de-Grâce;63;737;442,6;5101;3063,3;9;n.p.;293;176
Côte-Saint-Luc;13;120;369,8;1327;4089,6;13;*40,1;87;268,1
Dollard-des-Ormeaux;9;164;335,4;1080;2208,6;< 5;n.p.;100;204,5
Dorval;< 5;37;194,9;383;2017,9;< 5;n.p.;64;337,2
Hampstead;< 5;16;* 229,5;169;2423,6;0;;< 5;n.p.
Kirkland;< 5;40;198,5;304;1508,6;< 5;n.p.;28;* 139
Lachine;9;174;391,1;1335;3000,7;< 5;n.p.;116;260,7
LaSalle;6;266;346,1;2534;3297,2;< 5;n.p.;187;243,3
L'Île-Bizard–Sainte-Geneviève;< 5;57;309,6;372;2020,3;< 5;n.p.;53;287,8
Mercier–Hochelaga-Maisonneuve;21;360;264,7;4162;3059,8;0;;388;285,2
Montréal Est;0;14;* 363,6;96;2493,5;0;;< 5;n.p.
Montréal-Nord;50;561;666;4508;5351,8;0;;254;301,5
Montréal-Ouest;< 5;9;n.p.;68;1346,5;0;;< 5;n.p.
Mont-Royal;12;58;286,1;621;3062,7;0;;91;448,8
Outremont;< 5;33;* 137,8;658;2746,9;0;;13;* 54,3
Pierrefonds–Roxboro;10;292;421,4;1508;2176,1;12;*17,3;53;76,5
Plateau Mont-Royal;11;150;144,2;2051;1972,1;0;;133;127,9
Pointe-Claire;7;75;239;432;1376,7;< 5;n.p.;34;* 108,3
Rivière-des-Prairies–Pointe-aux-Trembles;47;548;513,4;4018;3764,2;< 5;n.p.;260;243,6
Rosemont–La Petite Patrie;35;419;300,2;3503;2509,5;8;n.p.;257;184,1
Sainte-Anne-de-Bellevue;0;18;* 363;66;1331,2;< 5;n.p.;6;n.p.
Saint-Laurent;38;426;431,1;2963;2998,1;< 5;n.p.;110;111,3
Saint-Léonard;42;580;740,7;2862;3654,9;< 5;n.p.;57;72,8
Senneville;0;5;n.p.;13;* 1411,5;0;;0;
Sud-Ouest;10;178;227,8;1942;2484,9;0;;183;234,2
Verdun;9;138;199,3;1609;2324,2;< 5;n.p.;173;249,9
Ville-Marie;16;211;236,6;2256;2530;0;;88;98,7
Villeray–Saint-Michel–Parc-Extension;51;598;415,7;4781;3323,5;0;;137;95,2
Westmount;< 5;74;364,3;401;1974,2;< 5;n.p.;44;216,6
Territoire à confirmer;5;86;;1155;;< 5;;45;
Total à Montréal;552;7226;349,8;58373;2825,9;73;3,5;3700;179,1
