Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      3991,      2501,       62.7,       792,       19.8,       698,       17.5,        54,n.d.,n.d.,n.d.,n.d.,        46,       85.2
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     11007,      5728,       52.0,      2484,       22.6,      2795,       25.4,       269,        13,        4.8,        21,        7.8,       235,       87.4
Région,RSS03,03 - Capitale-Nationale,     32242,     18821,       58.4,      6347,       19.7,      7074,       21.9,      1110,        32,        2.9,       102,        9.2,       976,       87.9
Région,RSS04,04 - Mauricie et Centre-du-Québec,     16424,      9748,       59.4,      3167,       19.3,      3509,       21.4,       565,        20,        3.5,        31,        5.5,       514,       91.0
Région,RSS05,05 - Estrie,     15775,      9453,       59.9,      3075,       19.5,      3247,       20.6,       361,        12,        3.3,        33,        9.1,       316,       87.5
Région,RSS06,06 - Montréal,    126598,     74888,       59.2,     23090,       18.2,     28620,       22.6,      4721,       152,        3.2,       278,        5.9,      4291,       90.9
Région,RSS07,07 - Outaouais,     12289,      8002,       65.1,      2045,       16.6,      2242,       18.2,       217,         6,        2.8,        19,        8.8,       192,       88.5
Région,RSS08,08 - Abitibi-Témiscamingue,      1195,       722,       60.4,       272,       22.8,       201,       16.8,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Région,RSS09,09 - Côte-Nord,       597,       391,       65.5,       110,       18.4,        96,       16.1,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       129,        80,       62.0,        22,       17.1,        27,       20.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2095,      1099,       52.5,       426,       20.3,       570,       27.2,        47,n.d.,n.d.,n.d.,n.d.,        42,       89.4
Région,RSS12,12 - Chaudière-Appalaches,     20637,     12664,       61.4,      4038,       19.6,      3935,       19.1,       372,        10,        2.7,        38,       10.2,       324,       87.1
Région,RSS13,13 - Laval,     34303,     21482,       62.6,      6804,       19.8,      6017,       17.5,       921,        17,        1.8,        65,        7.1,       839,       91.1
Région,RSS14,14 - Lanaudière,     25860,     15826,       61.2,      5226,       20.2,      4808,       18.6,       519,        23,        4.4,        32,        6.2,       464,       89.4
Région,RSS15,15 - Laurentides,     23513,     14526,       61.8,      4558,       19.4,      4429,       18.8,       519,        28,        5.4,        38,        7.3,       453,       87.3
Région,RSS16,16 - Montérégie,     53816,     31748,       59.0,     10655,       19.8,     11413,       21.2,      1567,        55,        3.5,       106,        6.8,      1406,       89.7
Région,RSS17,17 - Nunavik,        53,        28,       52.8,         8,       15.1,        17,       32.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       123,        73,       59.3,        17,       13.8,        33,       26.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    380705,    227824,       59.8,     73147,       19.2,     79734,       20.9,     11260,       374,        3.3,       776,        6.9,     10110,       89.8
Groupe d'âge,0_9,Moins de 10 ans,     34956,     29886,       85.5,      4137,       11.8,       933,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     49365,     40890,       82.8,      7081,       14.3,      1394,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     56023,     45312,       80.9,      8059,       14.4,      2652,        4.7,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     52785,     37003,       70.1,     10994,       20.8,      4788,        9.1,        22,n.d.,n.d.,n.d.,n.d.,        15,       68.2
Groupe d'âge,40_49,40-49 ans,     56636,     35608,       62.9,     13517,       23.9,      7511,       13.3,        55,        17,       30.9,        13,       23.6,        25,       45.5
Groupe d'âge,50_59,50-59 ans,     50088,     25193,       50.3,     14211,       28.4,     10684,       21.3,       217,        36,       16.6,        33,       15.2,       148,       68.2
Groupe d'âge,60_69,60-69 ans,     30654,     10382,       33.9,      8636,       28.2,     11636,       38.0,       724,        66,        9.1,        88,       12.2,       570,       78.7
Groupe d'âge,70_79,70-79 ans,     19255,      2461,       12.8,      3747,       19.5,     13047,       67.8,      2204,        83,        3.8,       201,        9.1,      1920,       87.1
Groupe d'âge,80_89,80-89 ans,     19530,       799,        4.1,      1978,       10.1,     16753,       85.8,      4396,        84,        1.9,       268,        6.1,      4044,       92.0
Groupe d'âge,90_,90 ans et plus,     11413,       290,        2.5,       787,        6.9,     10336,       90.6,      3633,        78,        2.1,       170,        4.7,      3385,       93.2
