,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4161,5,4139,22,54,0,4044,63,196934.5,2112.89,32.01,27.42,8
02,02 - Saguenay-Lac-Saint-Jean,11312,6,11093,219,271,0,11008,33,277505,4076.32,11.90,97.66,5
03,03 - Capitale-Nationale,34339,35,33985,354,1122,0,33001,216,757803,4531.39,28.42,148.06,21
04,04 - Mauricie et Centre-du-Québec,17291,27,17054,237,569,0,16448,274,523331.5,3304.02,52.26,108.73,22
05,05 - Estrie,16805,39,16293,512,368,2,16189,248,494966.5,3395.18,49.92,74.35,22
06,06 - Montréal,146730,134,143796,2934,4820,2,140455,1455,2072060.5,7081.36,70.00,232.62,123
07,07 - Outaouais,14063,26,13615,448,222,0,13642,199,402744,3491.80,49.20,55.12,22
08,08 - Abitibi-Témiscamingue,1255,1,1222,33,9,0,1225,21,147637,850.06,14.22,6.10,0
09,09 - Côte-Nord,644,6,623,21,5,0,608,31,89700.5,717.94,34.69,5.57,1
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2178,2,2157,21,47,0,2107,24,89823,2424.77,26.77,52.33,0
12,12 - Chaudière-Appalaches,21420,61,21146,274,373,0,20570,477,431109.5,4968.58,110.44,86.52,58
13,13 - Laval,36504,37,34579,1925,933,1,35113,458,444658.5,8209.45,102.56,209.82,34
14,14 - Lanaudière,26969,34,26259,710,525,1,26105,339,522367,5162.85,64.62,100.50,25
15,15 - Laurentides,24621,40,24019,602,524,0,23674,423,630238,3906.62,66.77,83.14,26
16,16 - Montérégie,57388,56,55462,1926,1581,1,55110,697,1438226,3990.19,48.28,109.93,64
17,17 - Nunavik,61,2,59,2,0,0,52,9,14336.5,425.49,62.44,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1165,1,1158,7,1,0,1149,15,.,.,.,.,-1
999,Ensemble du Québec,417188,512,406938,10250,11429,7,400777,4982,8565469.5,4870.58,57.99,133.43,430

