,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3989,1,3963,26,53,0,3927,9,196934.5,2025.55,4.57,26.91,5
02,02 - Saguenay-Lac-Saint-Jean,11062,1,10839,223,271,0,10775,16,277505,3986.23,5.77,97.66,2
03,03 - Capitale-Nationale,33065,22,32712,353,1119,0,31825,121,757803,4363.27,15.92,147.66,19
04,04 - Mauricie et Centre-du-Québec,15658,17,15418,240,525,0,14941,192,523331.5,2991.99,36.62,100.32,26
05,05 - Estrie,15092,32,14575,517,352,0,14614,126,494966.5,3049.10,25.36,71.12,5
06,06 - Montréal,134802,153,131873,2929,4774,0,129161,867,2072060.5,6505.70,41.71,230.40,75
07,07 - Outaouais,12658,10,12211,447,215,0,12399,44,402744,3142.94,10.88,53.38,1
08,08 - Abitibi-Témiscamingue,1189,4,1156,33,9,0,1145,35,147637,805.35,23.70,6.10,2
09,09 - Côte-Nord,589,1,570,19,4,0,578,7,89700.5,656.63,7.83,4.46,1
10,10 - Nord-du-Québec,112,2,110,2,0,0,110,2,13521.5,828.31,14.83,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2078,0,2058,20,46,0,2027,5,89823,2313.44,5.58,51.21,0
12,12 - Chaudière-Appalaches,19353,5,19071,282,368,0,18950,35,431109.5,4489.11,8.10,85.36,5
13,13 - Laval,32516,65,30668,1848,917,0,31246,353,444658.5,7312.58,79.05,206.23,12
14,14 - Lanaudière,24400,32,23687,713,517,0,23699,184,522367,4671.05,35.07,98.97,19
15,15 - Laurentides,21357,23,20753,604,510,0,20679,168,630238,3388.72,26.52,80.92,12
16,16 - Montérégie,52168,54,50204,1964,1559,0,50242,367,1438226,3627.25,25.42,108.40,27
17,17 - Nunavik,49,0,47,2,0,0,47,2,14336.5,341.78,13.88,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,573,4,568,5,0,0,544,29,.,.,.,.,6
999,Ensemble du Québec,380833,426,370605,10228,11242,0,367029,2562,8565469.5,4446.14,29.82,131.25,217

