Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3167,994,0,0,16,98,114,2059,1590,1108,469,206,1675,211,1577
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3484,997,0,0,58,177,235,2252,1494,1232,758,212,1984,206,1990
Région,RSS03,03 - Capitale-Nationale,Total,16739,6280,5,11,452,714,1166,9277,6407,7462,2870,1151,9966,1019,10332
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7962,1652,1,2,211,825,1036,5271,4728,2691,543,416,4288,327,3234
Région,RSS05,05 - Estrie,Total,10292,2033,0,11,334,811,1145,7103,6133,3189,970,622,3981,382,4159
Région,RSS06,06 - Montréal,Total,79309,13820,126,285,3887,6580,10467,54611,42500,24698,12111,6880,30230,6829,36809
Région,RSS07,07 - Outaouais,Total,8544,3839,17,33,156,1053,1209,3446,3162,5098,284,238,4821,761,5382
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1010,103,187,0,24,44,68,652,548,358,104,25,260,239,462
Région,RSS09,09 - Côte-Nord,Total,514,163,0,0,11,54,65,286,245,228,41,22,279,33,269
Région,RSS10,10 - Nord-du-Québec,Total,67,22,1,0,5,11,16,28,9,39,19,13,50,5,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,728,185,0,0,33,56,89,454,406,274,48,38,346,36,322
Région,RSS12,12 - Chaudière-Appalaches,Total,14961,3452,1,10,396,1549,1945,9553,8875,5408,678,872,8259,1006,6086
Région,RSS13,13 - Laval,Total,19962,3280,13,23,587,2926,3513,13133,11771,6829,1362,808,7239,947,8191
Région,RSS14,14 - Lanaudière,Total,12465,1820,38,11,295,1886,2181,8415,6602,4050,1813,722,5275,712,5863
Région,RSS15,15 - Laurentides,Total,14670,2558,33,59,378,2631,3009,9011,6245,5659,2766,1109,7489,1034,8425
Région,RSS16,16 - Montérégie,Total,29314,4291,26,155,1650,2557,4207,20635,17325,8679,3310,2480,10687,1704,11989
Région,RSS00,Inconnu,Total,1273,51,1,0,28,64,92,1129,985,144,144,30,262,70,288
Région,RSS98,Hors-Québec,Total,955,125,11,10,194,113,307,502,403,453,99,207,322,263,552
Région,RSS99,Ensemble du Québec,Total,225416,45665,460,610,8715,22149,30864,147817,119428,77599,28389,16051,97413,15784,105988

