Sexe;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Masculin;n.d.;319;31,1;63363;6181,7;< 5;n.p.;2196;214,2
Féminin;n.d.;310;29,8;68974;6628;< 5;n.p.;2567;246,7
Inconnu;n.d.;0;;124;;0;;< 5;
Total à Montréal;44;629;30,5;132461;6412,5;8;n.p.;4764;230,6
