,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1051,16,1038,13,24,1,830,197,197074,533.30,99.96,12.18
02,02 - Saguenay–Lac-Saint-Jean,6062,82,5901,161,161,2,5172,729,277632,2183.47,262.58,57.99
03,03 - Capitale-Nationale,13555,193,13297,258,502,11,11112,1941,755459,1794.27,256.93,66.45
04,04 - Mauricie et Centre-du-Québec,7775,108,7566,209,284,3,6500,991,522341,1488.49,189.72,54.37
05,05 - Estrie,5723,120,5397,326,86,1,4597,1040,493163,1160.47,210.88,17.44
06,06 - Montréal,55908,648,53140,2768,3688,6,47346,4874,2065657,2706.55,235.95,178.54
07,07 - Outaouais,3833,27,3542,291,89,1,3451,293,401032,955.78,73.06,22.19
08,08 - Abitibi-Témiscamingue,296,3,263,33,4,0,264,28,147616,200.52,18.97,2.71
09,09 - Côte-Nord,218,2,205,13,2,0,208,8,90033,242.13,8.89,2.22
10,10 - Nord-du-Québec,57,2,55,2,0,0,54,3,13558,420.42,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1455,8,1436,19,42,1,1334,79,89998,1616.70,87.78,46.67
12,12 - Chaudière-Appalaches,6170,96,5927,243,148,0,5337,685,430309,1433.85,159.19,34.39
13,13 - Laval,12777,134,11538,1239,732,0,10860,1185,442745,2885.86,267.65,165.33
14,14 - Lanaudière,12448,129,11746,702,355,4,10828,1265,520092,2393.42,243.23,68.26
15,15 - Laurentides,8579,64,7983,596,342,0,7698,539,626968,1368.33,85.97,54.55
16,16 - Montérégie,22226,207,20896,1330,922,3,19155,2149,1432751,1551.28,149.99,64.35
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,1,17,0,1,0,15,1,18385,92.47,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,129,2,127,2,0,0,118,11,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,158310,1842,150103,8207,7382,33,134910,16018,8539073,1853.95,187.58,86.45
