Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,     14742,      8631,       58.5,      3000,       20.4,      3111,       21.1,       106,         5,        4.7,         7,        6.6,        94,       88.7
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     23773,     12787,       53.8,      5455,       22.9,      5531,       23.3,       352,         5,        1.4,        18,        5.1,       329,       93.5
Région,RSS03,03 - Capitale-Nationale,     70833,     42689,       60.3,     13836,       19.5,     14308,       20.2,      1381,        26,        1.9,        99,        7.2,      1256,       90.9
Région,RSS04,04 - Mauricie et Centre-du-Québec,     47367,     27933,       59.0,      9044,       19.1,     10390,       21.9,       859,        21,        2.4,        42,        4.9,       796,       92.7
Région,RSS05,05 - Estrie,     40450,     24194,       59.8,      8166,       20.2,      8090,       20.0,       533,        21,        3.9,        28,        5.3,       484,       90.8
Région,RSS06,06 - Montréal,    247562,    153992,       62.2,     44327,       17.9,     49243,       19.9,      5216,       157,        3.0,       247,        4.7,      4812,       92.3
Région,RSS07,07 - Outaouais,     32309,     21701,       67.2,      5546,       17.2,      5062,       15.7,       283,         9,        3.2,        14,        4.9,       260,       91.9
Région,RSS08,08 - Abitibi-Témiscamingue,      7366,      4152,       56.4,      1570,       21.3,      1644,       22.3,        68,n.d.,n.d.,n.d.,n.d.,        58,       85.3
Région,RSS09,09 - Côte-Nord,      5317,      3104,       58.4,       968,       18.2,      1245,       23.4,        33,n.d.,n.d.,n.d.,n.d.,        29,       87.9
Région,RSS10,10 - Nord-du-Québec,       995,       631,       63.4,       182,       18.3,       182,       18.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      5371,      2981,       55.5,      1091,       20.3,      1299,       24.2,        55,n.d.,n.d.,n.d.,n.d.,        49,       89.1
Région,RSS12,12 - Chaudière-Appalaches,     51302,     32155,       62.7,      9794,       19.1,      9353,       18.2,       542,        10,        1.8,        37,        6.8,       495,       91.3
Région,RSS13,13 - Laval,     63523,     40333,       63.5,     12403,       19.5,     10787,       17.0,      1034,        14,        1.4,        59,        5.7,       961,       92.9
Région,RSS14,14 - Lanaudière,     61224,     38327,       62.6,     12288,       20.1,     10609,       17.3,       718,        18,        2.5,        31,        4.3,       669,       93.2
Région,RSS15,15 - Laurentides,     67553,     42752,       63.3,     13031,       19.3,     11770,       17.4,       689,        16,        2.3,        26,        3.8,       647,       93.9
Région,RSS16,16 - Montérégie,    124507,     75208,       60.4,     24391,       19.6,     24908,       20.0,      2006,        43,        2.1,        95,        4.7,      1868,       93.1
Région,RSS17,17 - Nunavik,      2463,      1579,       64.1,       396,       16.1,       488,       19.8,         9,n.d.,n.d.,n.d.,n.d.,         8,       88.9
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,      2046,      1331,       65.1,       321,       15.7,       394,       19.3,        13,n.d.,n.d.,n.d.,n.d.,        11,       84.6
Région,RSS997,Total Québec jumelés,    868896,    534636,       61.5,    165835,       19.1,    168425,       19.4,     13901,       356,        2.6,       715,        5.1,     12830,       92.3
Groupe d'âge,0_9,Moins de 10 ans,     77242,     65605,       84.9,      9341,       12.1,      2296,        3.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,    104380,     86734,       83.1,     14565,       14.0,      3081,        3.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,    140886,    112507,       79.9,     20861,       14.8,      7518,        5.3,        11,n.d.,n.d.,n.d.,n.d.,         7,       63.6
Groupe d'âge,30_39,30-39 ans,    141053,     97185,       68.9,     29793,       21.1,     14075,       10.0,        30,n.d.,n.d.,n.d.,n.d.,        24,       80.0
Groupe d'âge,40_49,40-49 ans,    139342,     87862,       63.1,     32951,       23.6,     18529,       13.3,        81,        19,       23.5,        15,       18.5,        47,       58.0
Groupe d'âge,50_59,50-59 ans,    109483,     56160,       51.3,     29650,       27.1,     23673,       21.6,       317,        36,       11.4,        33,       10.4,       248,       78.2
Groupe d'âge,60_69,60-69 ans,     63156,     21873,       34.6,     17059,       27.0,     24224,       38.4,       975,        64,        6.6,        85,        8.7,       826,       84.7
Groupe d'âge,70_79,70-79 ans,     37253,      4737,       12.7,      6753,       18.1,     25763,       69.2,      2825,        67,        2.4,       178,        6.3,      2580,       91.3
Groupe d'âge,80_89,80-89 ans,     35767,      1416,        4.0,      3411,        9.5,     30940,       86.5,      5355,        81,        1.5,       233,        4.4,      5041,       94.1
Groupe d'âge,90_,90 ans et plus,     20334,       557,        2.7,      1451,        7.1,     18326,       90.1,      4304,        81,        1.9,       168,        3.9,      4055,       94.2
