group,0d,1d,2d,pop 2021
0-4,87764,84,17,109960
5-11,144479,32,8,149671
12-17,30819,95478,83448,115666
18-29,17530,303571,268127,367326
30-39,36891,264309,239838,330128
40-49,23519,236946,219567,281268
50-59,13639,222763,210654,254246
60-69,2179,203946,196365,219244
70-79,652,142291,137707,148691
80 plus,1508,98250,92437,102264
Total 12+,126737,1567554,1448143,1818833
Total,358980,1567670,1448168,2078464
