No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,1814,108,20859.333333,8696.35,518.68
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,3661,159,35045.666667,10446.37,451.61
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,1520,45,19215,7910.49,234.89
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,709,94,8566.3333333,8276.59,1101.99
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,4415,250,57767,7642.77,431.75
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,1355,68,17995,7529.87,379.53
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,1340,64,20715.666667,6468.53,310.26
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,1477,84,17574.333333,8404.30,480.08
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),16295,873,197738.33333,8240.69,441.66
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,2443,143,31025.333333,7874.21,462.27
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,2313,90,25032.333333,9240.05,360.98
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,5331,156,52510,10152.35,296.91
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,6128,186,67904,9024.51,274.10
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,7123,178,79539,8955.36,223.23
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,1856,34,22589.333333,8216.27,150.50
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),25619,804,278600,9195.62,288.59
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,4940,116,55481.666667,8903.84,207.55
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,33036,989,323240,10220.27,303.49
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,36060,825,354000,10186.44,231.47
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,2236,67,28382,7878.23,235.92
03,03 - Capitale-Nationale,,Total (incluant inconnus),77075,2038,761103.66667,10126.74,265.86
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,1872,129,15084,12410.50,855.15
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,1792,48,25787,6949.24,185.80
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,1949,36,22901,8510.55,157.27
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,5244,192,65575.666667,7996.87,291.16
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,14160,442,145489,9732.69,302.08
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,4155,113,45106,9211.63,249.26
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,9646,265,108908.66667,8856.96,241.74
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,11643,172,98815.333333,11782.58,173.29
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),50674,1399,527666.66667,9603.41,263.82
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,3162,47,57842,5466.62,80.20
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,8095,122,108135.33333,7485.99,111.33
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,4020,53,53546.333333,7507.52,97.97
05,05 - Estrie,0514,0514 - RLS de Coaticook,1588,18,18951.333333,8379.36,94.47
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,16418,352,172853,9498.24,201.01
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,2426,27,31930.333333,7597.79,84.01
05,05 - Estrie,0517,0517 - RLS d'Asbestos,1855,8,14436.666667,12849.23,55.27
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,1885,36,23079,8167.60,154.92
05,05 - Estrie,0519,0519 - RLS du Granit,3661,5,21632,16924.00,23.06
05,05 - Estrie,,Total (incluant inconnus),43161,670,502406,8590.86,131.90
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,24265,293,225064.66667,10781.35,130.10
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,19695,163,148454,13266.74,109.48
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,15577,222,130942.66667,11896.05,168.61
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,32217,337,245354.66667,13130.79,136.07
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,18640,244,166358.66667,11204.71,146.27
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,18893,271,160840.33333,11746.43,166.57
