group,1d,2d,3d,pop 2021
0-4,31616,14226,41,428991
5-11,441385,338734,32967,650347
12-17,532861,510474,122801,529446
18-29,1118535,1059443,454719,1216440
30-39,1026449,986032,522026,1118629
40-49,1030861,1006325,658605,1115327
50-59,1082921,1057327,807127,1155183
60-69,1118960,1106832,1004017,1168854
70-79,755934,754416,726678,783129
80 plus,401330,401786,392078,425520
Total 5+,7509236,7221369,4721018,8162875
Total,7540852,7235595,4721059,8591866
