group,0d,1d,2d,3d,pop 2021
0-4,0,90,18,0,109960
5-11,0,81316,45826,0,149671
12-17,0,99890,92005,0,115666
18-29,0,326608,303212,0,367326
30-39,0,282734,266635,0,330128
40-49,0,249728,238528,0,281268
50-59,0,230901,222790,0,254246
60-69,0,210586,204811,0,219244
70-79,0,147227,143793,0,148691
80 plus,0,102965,98966,0,102264
Total 12+,0,1650639,1570740,0,1818833
Total,0,1732045,1616584,0,2078464
